Product Usage Report,,
Jakata Salon,,
01/11/20 - 30/11/20 (Days: 30),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,2,28.36
Total,2,28.36
Colour Developers,#,Cost
BM Developer 2%,1,6.06
Vibrance 1.9% lotion,2,11.10
IGORA Royal Oxigenta 6% 1 Litre,1,5.73
BM Developer 6%,1,6.06
Total,5,28.95
Colour Tubes,#,Cost
"IGORA Royal 9,5-1",2,11.10
Vibrance 6-12,1,4.92
IGORA Royal 7-0,2,11.10
IGORA Royal 9-4,1,5.55
IGORA Royal 5-88,1,5.55
Vibrance 9-4,1,4.92
Vibrance 7-4,1,4.92
"Vibrance 9,5-98",1,4.92
IGORA Royal 6-6,2,11.10
IGORA Color10 5-0 ,1,5.55
Vibrance 8-11,1,4.92
Vibrance 5-1,1,4.95
IGORA Royal 6-4,1,5.55
"Vibrance 9,5-49",1,4.92
IGORA Royal 7-00,1,5.55
IGORA Color10 8-00 ,1,5.55
IGORA Royal 6-68,1,5.55
IGORA Royal FL L-88,1,5.76
IGORA Royal 9-98,1,5.55
IGORA Royal FL L-77,1,5.76
Page 1 ,,
IGORA Royal 5-0,1,5.55
IGORA Royal SW Grey Lilac,3,17.28
"IGORA Royal 9,5-4",1,5.55
IGORA Royal 6-77,1,5.55
IGORA Royal 0-55,1,5.55
Vibrance 7-1,1,4.92
IGORA Royal 12-46,1,5.55
IGORA Royal 7-1,1,5.55
IGORA Royal 6-0,2,11.10
IGORA Royal 5-6,1,5.55
Vibrance 7-48,1,4.92
IGORA Royal 7-4,2,11.10
IGORA Royal 9-7,1,5.55
"Vibrance 9,5-1",6,29.52
IGORA Royal 5-00,1,5.55
IGORA Royal 5-99,1,5.55
BM toning caramel,1,6.42
IGORA Royal SW Silver,1,5.76
IGORA ROYAL OPULESCENCE 6-78,2,11.52
IGORA Royal 8-77,2,11.10
Total,54,292.83
Total,61,350.14
Page 2 ,,
PROFESSIONAL,,
--,,
Profeesional use only,#,Cost
gloves small,3,0.00
Total,3,0.00
Total,3,0.00
Schwarzkopf Igora,,
Colour Tubes,#,Cost
c10 7-1,2,0.00
Total,2,0.00
Total,2,0.00
Page 3 ,,
RETAIL,,
Schwarzkopf Retail,,
Hair Products (Wet to Dry),#,Cost
"Chro ID Large Classic 9,5-1",1,21.00
Total,1,21.00
Total,1,21.00
Page 4 ,,
