Product Usage Report,,
Jakata Salon,,
01/11/19 - 30/11/19 (Days: 30),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,12,170.16
Igora Vario Blond Super Plus ,6,94.80
Total,18,264.96
Colour Developers,#,Cost
BM Developer 2%,11,66.66
IGORA Royal Oxigenta 6% 1 Litre,3,17.19
IGORA Royal Oxigenta 3% 1 Litre,7,40.11
BM Developer 9%,1,6.06
BM Developer 6%,8,48.48
Vibrance 1.9% lotion,10,55.50
Total,40,234.00
Colour Tubes,#,Cost
IGORA Royal SW Slate Grey,1,5.76
"IGORA Royal P 9,5-89",1,5.76
IGORA Color10 6-00 ,2,11.10
IGORA Royal 7-0,3,16.65
IGORA Royal 9-98,1,5.55
IGORA Royal 7-65,1,5.55
IGORA Color10 6-4 ,1,5.55
IGORA Royal 1-1,1,5.55
IGORA Color10 5-0 ,5,27.75
IGORA Royal 7-4,3,16.65
Vibrance 6-0,4,19.68
Vibrance 0-00,1,4.92
IGORA Royal 7-57,2,11.10
Vibrance 9-7,1,4.92
IGORA Royal 6-0,6,33.30
IGORA Royal 6-1,3,16.65
Vibrance 5-1,2,9.90
Page 1 ,,
IGORA Royal Opulescence 5-67,1,5.76
IGORA Royal 8-1,2,11.10
IGORA ROYAL OPULESCENCE 6-78,1,5.76
IGORA Royal ABS 8-01,1,5.76
IGORA Royal 5-7,1,5.55
Vibrance 9-57,1,4.92
IGORA Royal 5-1,1,5.55
Vibrance 4-46,1,4.92
IGORA Royal 5-00,1,5.55
Vibrance 9-1,4,19.68
TBH 10-19 C,1,0.00
"Vibrance 9,5-21",1,4.92
IGORA Royal 8-55,1,5.55
IGORA ROYAL OPULESCENCE 8-19,2,11.52
"IGORA Royal 9,5-49",1,5.55
Vibrance 9-65,1,4.92
IGORA Royal 6-99,1,5.55
TBH 7-16 C,1,6.42
Vibrance 8-0,2,9.84
IGORA Color10 7-5 ,2,11.10
IGORA Royal 8-00,3,16.65
BM toning apricot,7,44.94
IGORA Royal 6-65,1,5.55
Vibrance 7-77,1,4.92
TBH 8-19 C,1,6.42
IGORA Royal 5-6,3,16.65
IGORA Royal D-0,4,22.20
BM toning sand,3,19.26
"Vibrance 9,5-19",6,29.52
Vibrance 5-4,1,4.92
IGORA Color10 7-0 ,1,5.55
IGORA Royal 3-0,3,16.65
IGORA Royal 8-77,7,38.85
IGORA Royal SW Silver,5,28.80
IGORA Color 10 3-0 ,1,5.55
IGORA Royal 8-11,3,16.65
IGORA Royal P 6-89,2,11.52
BM toning ice,24,154.08
IGORA Royal 9-1,3,16.65
Page 2 ,,
Vibrance 8-11,5,24.60
IGORA Royal 9-0,3,16.65
"IGORA Royal P 9,5-29",1,5.76
BM toning steel blue,4,25.68
Vibrance 6-6,2,9.84
Vibrance 8-46,2,9.84
IGORA Royal 9-7,2,11.10
IGORA Royal 5-4,1,5.55
TBH 9-47 W,1,6.42
IGORA Color10 8-00 ,2,11.10
BM toning strawberry,10,64.20
Vibrance 6-99,1,4.92
Vibrance Ashy Cedar 7-21,1,4.92
Vibrance 9-4,6,29.52
IGORA Royal 8-65,2,11.10
IGORA Royal 6-77,1,5.55
IGORA Royal ABS 8-50,1,5.76
Vibrance 9-0,2,9.84
IGORA Royal 4-0,3,16.65
IGORA Royal 7-77,4,22.20
Vibrance 9-55,1,4.92
Vibrance 1-0,1,4.92
IGORA Royal Nude 4-46,1,5.55
Vibrance 8-19,10,49.20
Vibrance 6-46,1,4.92
IGORA Color10 6-99 ,1,5.55
Igora dusted rouge 8-849,1,5.59
IGORA Royal 0-22,1,5.55
IGORA Royal 6-6,3,16.65
Vibrance 7-1,5,24.60
Vibrance 6-12,5,24.60
IGORA Royal 7-55,1,5.55
"Vibrance 9,5-46",1,4.92
IGORA Royal 9-4,1,5.55
"Vibrance 9,5-4",4,19.68
IGORA Color10 9-12 ,1,5.55
IGORA Royal 6-12,3,16.65
BM Bleach & tone Cool Addative,1,6.42
Vibrance Ashy Cedar 5-21,1,4.92
Page 3 ,,
IGORA Royal SW Grey Lilac,7,40.32
IGORA Royal 6-4,1,5.55
BM toning lilac,7,44.94
"IGORA Royal 9,5-1",2,11.10
BM toning caramel,1,6.42
"Vibrance 9,5-1",12,59.04
IGORA Royal 5-0,3,16.65
IGORA Royal SW Dove Grey,1,5.76
Igora Royal 6-299,1,5.76
IGORA Royal FL L-89,1,5.76
Vibrance 3-0,1,4.92
IGORA Royal 7-1,5,27.75
Vibrance 4-0,1,4.92
Vibrance 7-4,2,9.84
IGORA Royal Nude 6-46,1,5.55
Vibrance 0-11,1,4.92
IGORA Royal 8-4,4,22.20
Vibrance 7-65,1,4.92
IGORA Royal 6-88,1,5.55
Vibrance 7-0,1,4.92
"Vibrance 9,5-49",1,4.92
IGORA Royal 6-00,1,5.55
"Vibrance 9,5-5",2,9.84
IGORA Royal FL L-77,1,5.76
Vibrance 5-0,1,4.92
Vibrance 6-63,1,4.92
IGORA Royal 6-68,2,11.10
IGORA Royal 0-99,1,5.55
IGORA Royal 6-5,2,11.10
