Product Usage Report,,
Jakata Salon,,
01/10/20 - 31/10/20 (Days: 31),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,1,15.80
BM Premi Lift 9+,10,141.80
Total,11,157.60
Colour Developers,#,Cost
BM Developer 6%,5,30.30
Vibrance 1.9% lotion,5,27.75
Vibrance Lotion 4%,1,5.55
IGORA Royal Oxigenta 3% 1 Litre,2,11.46
BM Developer 9%,1,6.06
BM Developer 2%,6,36.36
IGORA Royal Oxigenta 6% 1 Litre,4,22.92
Total,24,140.40
Colour Tubes,#,Cost
Vibrance 5-65,1,4.92
IGORA Royal 8-1,3,16.65
Vibrance Ashy Cedar 7-21,1,4.92
BM toning lilac,1,6.42
IGORA Royal 7-0,3,16.65
IGORA Royal 7-4,3,16.65
IGORA Royal ABS 9-50,1,5.76
IGORA Royal FL L-89,1,5.76
IGORA Royal 8-4,2,11.10
Vibrance 8-19,5,24.60
IGORA Royal 5-7,1,5.55
IGORA Royal 9-4,2,11.10
Vibrance 9-7,2,9.84
IGORA Royal 6-6,2,11.10
IGORA Royal 6-12,2,11.10
IGORA Royal 6-65,3,16.65
Page 1 ,,
IGORA Color10 6-4 ,2,11.10
Vibrance 7-4,1,4.92
IGORA Royal 4-0,2,11.10
"Vibrance 9,5-19",4,19.68
Vibrance 0-11,1,4.92
IGORA Royal 5-0,6,33.30
Vibrance 6-68,1,4.92
IGORA Color10 7-57 ,1,5.55
IGORA Royal FL L-88,1,5.76
IGORA Royal Opulescence 5-67,1,5.76
Vibrance 7-65,2,9.84
IGORA Royal P 6-89,2,11.52
Vibrance 9-0,1,4.92
IGORA Royal 10-14,3,16.65
IGORA Royal 4-13,1,5.55
IGORA Royal 6-68,1,5.55
IGORA Royal 6-0,5,27.75
Vibrance 5-1,2,9.90
IGORA Royal 12-0,1,5.55
IGORA Royal 5-57,1,5.55
IGORA Royal Nude 6-46,4,22.20
IGORA Color10 7-12,3,16.65
Royal Ashy Cedar 7-21,1,5.55
IGORA Royal SW Slate Grey,1,5.76
Vibrance 7-1,4,19.68
IGORA Color10 5-0 ,2,11.10
IGORA Royal 7-1,4,22.20
IGORA Royal 8-11,1,5.55
Vibrance 6-12,1,4.92
"Vibrance 9,5-5",1,4.92
IGORA Royal 7-57,1,5.55
IGORA Royal 5-68,1,5.55
"Vibrance 9,5-4",4,19.68
IGORA Royal 6-1,2,11.10
IGORA Royal 9-1,3,16.65
"Vibrance 9,5-21",2,9.84
IGORA Royal Nude 7-46,1,5.55
IGORA Royal 9-00,2,11.10
"IGORA Royal 9,5-1",2,11.10
Page 2 ,,
Vibrance 4-0,1,4.92
IGORA Royal 8-0,2,11.10
IGORA Royal 5-65,1,5.55
Vibrance 6-6,1,4.92
IGORA Royal FL L-77,1,5.76
Vibrance 9-1,9,44.28
IGORA Royal 4-6,1,5.55
IGORA Royal 6-77,1,5.55
IGORA Royal 5-1,1,5.55
Vibrance 6-46,3,14.76
IGORA Royal 12-1,1,5.55
IGORA ROYAL OPULESCENCE 6-78,1,5.76
Vibrance 9-4,2,9.84
"Vibrance 9,5-1",9,44.28
Vibrance 8-11,4,19.68
IGORA Color10 6-6,1,5.55
Vibrance 7-0,1,4.92
Vibrance 6-63,1,4.92
"Vibrance 9,5-46",1,4.92
TBH 10-19 C,4,0.00
IGORA Royal SW Grey Lilac,4,23.04
Vibrance 7-48,1,4.92
IGORA Color10 6-00 ,2,11.10
Igora Royal 4-998,1,5.76
IGORA Color10 7-7,1,5.55
IGORA Royal 5-4,1,5.55
IGORA Royal SW Silver,2,11.52
IGORA Color10 9-12 ,1,5.55
IGORA Royal 7-00,2,11.10
IGORA Royal 8-00,1,5.55
IGORA Color10 6-65 ,2,11.10
IGORA Royal 6-00,3,16.65
Igora Royal 5-113,1,5.76
IGORA Royal 6-88,1,5.55
IGORA Royal 5-6,1,5.55
"Vibrance 9,5-49",2,9.84
IGORA Color10 9-00,1,5.55
IGORA Royal Nude 4-46,1,5.55
Page 3 ,,
Total,186,971.76
Total,221,"1,269.76"
Page 4 ,,
PROFESSIONAL,,
--,,
Profeesional use only,#,Cost
gloves small,1,0.00
Total,1,0.00
Total,1,0.00
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Colour10 7-00,2,11.10
Total,2,11.10
Total,2,11.10
Schwarzkopf Igora,,
Colour Tubes,#,Cost
c10 7-1,1,0.00
Total,1,0.00
Total,1,0.00
Page 5 ,,
RETAIL,,
Schwarzkopf,,
Hair Products (Wet to Dry),#,Cost
peptide repair rescue sealed ends,1,7.17
Total,1,7.17
Total,1,7.17
Schwarzkopf Professional,,
Colour Tubes,#,Cost
VIBRANCE 6-16,5,24.60
VIBRANCE 5-16,1,0.00
Total,6,24.60
Total,6,24.60
Page 6 ,,
