Product Usage Report,,
Paul Kemp Hairdressing,,
01/11/20 - 30/11/20 (Days: 30),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,3,42.54
Igora Vario Blond Super Plus ,1,15.80
Total,4,58.34
Colour Developers,#,Cost
IGORA Royal Oxigenta 3% 1 Litre,1,5.73
Vibrance 1.9% lotion,1,5.55
BM Developer 6%,1,6.06
BM Developer 9%,1,6.06
BM Developer 2%,1,6.06
Total,5,29.46
Colour Tubes,#,Cost
IGORA Royal 6-00,1,5.55
Vibrance 9-1,1,4.92
IGORA Royal Nude 6-46,1,5.55
"Vibrance 9,5-46",1,4.92
BM toning strawberry,1,6.42
IGORA Color10 5-0 ,1,5.55
IGORA Royal 8-11,1,5.55
Vibrance 7-1,1,4.92
IGORA Royal ABS 6-80,1,5.76
Vibrance 6-46,1,4.92
Vibrance 5-88,1,4.92
Vibrance 8-0,2,9.84
"Vibrance 9,5-1",2,9.84
Vibrance 9-4,1,4.92
Vibrance 9-0,1,4.92
"Vibrance 9,5-49",2,9.84
IGORA Royal 4-88,1,5.55
IGORA Royal ABS 9-40,1,5.76
Page 1 ,,
Vibrance 9-65,1,4.92
Igora dusted rouge 7-982,2,11.52
Vibrance 7-65,1,4.92
IGORA Royal 5-00,1,5.55
Vibrance 6-0,1,4.92
Total,27,141.48
Total,36,229.28
Page 2 ,,
PROFESSIONAL,,
--,,
Profeesional use only,#,Cost
gloves large,1,0.00
Total,1,0.00
Total,1,0.00
Page 3 ,,
RETAIL,,
Schwarzkopf,,
Hair Products (Finish),#,Cost
Osis Magic 50ml,1,6.75
Total,1,6.75
Total,1,6.75
Page 4 ,,
