Product Usage Report,,
Paul Kemp Hairdressing,,
01/12/19 - 31/12/19 (Days: 31),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,2,31.60
Igora Vario Blond Plus ,2,25.64
BM Premi Lift 9+,15,212.70
Total,19,269.94
Colour Developers,#,Cost
BM Developer 2%,6,36.36
IGORA Royal Oxigenta 6% 1 Litre,6,34.38
IGORA Royal Oxigenta 3% 1 Litre,5,28.65
BM Developer 9%,1,6.06
Vibrance 1.9% lotion,9,49.95
BM Developer 6%,7,42.42
Total,34,197.82
Colour Tubes,#,Cost
"Vibrance 9,5-46",7,34.44
"IGORA Royal 9,5-4",2,11.10
Vibrance 0-89,1,4.92
IGORA Color10 5-5 ,1,5.55
"Vibrance 9,5-4",8,39.36
IGORA Royal 8-1,5,27.75
IGORA Royal ABS 7-70,1,5.76
IGORA Royal Nude 6-46,2,11.10
IGORA Royal 9-65,1,5.55
IGORA Royal 8-55,1,5.55
Vibrance 8-19,2,9.84
Vibrance 6-6,3,14.76
IGORA Royal 8-77,2,11.10
Vibrance 0-11,1,4.92
IGORA Royal 3-65,1,5.55
Vibrance 5-1,1,4.95
Page 1 ,,
IGORA Royal 1-1,1,5.55
IGORA Royal Nude 4-46,1,5.55
IGORA Royal Nude 8-46,5,27.75
Vibrance 8-0,5,24.60
IGORA Royal 7-0,5,27.75
BM toning lilac,1,6.42
IGORA Royal SW Silver,1,5.76
IGORA Royal 6-0,6,33.30
"Vibrance 9,5-21",6,29.52
Vibrance 6-12,1,4.92
IGORA Royal 5-00,6,33.30
IGORA Royal 5-68,2,11.10
Vibrance Ashy Cedar 5-21,1,4.92
IGORA Royal E-0,1,5.55
Vibrance Ashy Cedar 7-21,1,4.92
Vibrance 5-0,1,4.92
Vibrance 6-99,3,14.76
IGORA Royal 6-1,3,16.65
Vibrance 8-11,5,24.60
Vibrance 5-65,1,4.92
IGORA Royal 6-68,1,5.55
Vibrance 7-65,5,24.60
"Vibrance 9,5-1",12,59.04
Vibrance 7-0,3,14.76
IGORA Royal 5-6,1,5.55
Vibrance 6-63,1,4.92
IGORA Royal 6-00,5,27.75
Vibrance 7-1,4,19.68
IGORA Royal SW Grey Lilac,1,5.76
IGORA Royal 7-1,9,49.95
IGORA Color10 6-65 ,1,5.55
"Vibrance 9,5-19",116919818,"5,752,455,045.60"
Igora dusted rouge 7-764,1,5.76
Vibrance 9-4,3,14.76
IGORA Royal 6-4,1,5.55
Vibrance 4-99,1,4.92
"IGORA Royal 9,5-22",2,11.10
IGORA Royal 8-11,6,33.30
BM toning ice,7,44.94
Page 2 ,,
IGORA Royal ABS 6-460,1,5.76
Vibrance 7-55,1,4.92
IGORA Royal Nude 10-46,1,5.55
"Vibrance 9,5-98",1,4.92
IGORA Royal 8-4,1,5.55
