Product Usage Report,,
Paul Kemp Hairdressing,,
01/01/19 - 31/01/19 (Days: 31),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
IGORA Royal Vibrance 7-5,1,4.92
IGORA Royal Vibrance 8-65,1,4.92
IGORA Royal Vibrance 9-0,1,4.92
IGORA Royal Vibrance 6-0,1,4.92
IGORA Royal Vibrance 7-4,1,4.92
IGORA Royal Vibrance 7-0,1,4.92
Total,6,29.52
Profeesional use only,#,Cost
Silver foil (box of 3) 90m Plain ,4,43.20
Total,4,43.20
Professional use only,#,Cost
Hyaluronic Moisture Kick shampoo,1,10.47
bc fibre clinix hyaluronic moisture booster,208210334,"33,855,000,308.4"
Page 6 ,,
bc fibre clinix keratin smooth booster,1,16.26
Fibreplex 1 Booster 500ml,1,64.41
BC Excellium beautifying Shampoo 1000ml,1,10.17
bc fibre clinix peptide repair booster,1,16.26
Total,20821033,"33,855,000,425.9"
Total,2082103,"33,855,000,49"
Page 7 ,,
RETAIL,,
Kevin.Murphy,,
Hair Products (Finish),#,Cost
FRESH.HAIR,1,13.00
Total,1,13.00
Hair Products (Wet to Dry),#,Cost
SHIMMER.ME BLONDE,2,27.08
ANTI.GRAVITY.SPRAY,1,12.46
BODY.MASS,1,17.88
SMOOTH.AGAIN,1,16.25
Total,5,73.67
Total,6,86.67
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Royal FL L-44,1,5.76
Total,1,5.76
Hair Products (Finish),#,Cost
Osis Refresh Dust 300ml,1,6.60
OSiS Session Label Super Dry Flex 300ml,1,6.21
Osis Volume Up 250ml,1,6.60
Total,3,19.41
Hair Products (Prep),#,Cost
hyaluronic moisture kick micellar spray conditioner,1,6.36
BM Tone Enhancing Spray Conditioner Cool Blondes 150ml,1,7.86
blondme blush wash apricot,1,8.64
blondme blush wash strawberry,1,14.40
pH 4.5 Colour Freeze Spray Conditioner,1,6.36
collagen volume boost perfect foam,1,8.34
peptide repair rescue spray conditioner,2,12.72
Total,8,64.68
Hair Products (Wet to Dry),#,Cost
Osis Blow & Go 200ml,2,12.44
Total,2,12.44
Total,14,102.29
Page 8 ,,
