Product Usage Report,,
Paul Kemp Hairdressing,,
01/10/19 - 31/10/19 (Days: 31),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,12,170.16
Total,12,170.16
Colour Developers,#,Cost
IGORA Royal Oxigenta 6% 1 Litre,3,17.19
IGORA Royal Oxigenta 3% 1 Litre,2,11.46
IGORA Royal Oxigenta 9% 1 Litre,1,5.73
BM Developer 9%,1,6.06
BM Developer 6%,7,42.42
BM Developer 2%,4,24.24
Vibrance 1.9% gel activator,1,5.55
Vibrance Lotion 4%,1,5.55
Vibrance 1.9% lotion,6,33.30
Total,26,151.50
Colour Tubes,#,Cost
IGORA Royal 5-0,4,22.20
Vibrance 6-6,3,14.76
Vibrance 9-65,1,4.92
IGORA Royal SW Grey Lilac,1,5.76
IGORA Royal SW Silver,2,11.52
Igora dusted rouge 7-982,1,5.76
Vibrance 6-46,4,19.68
"Vibrance 9,5-46",7,34.44
Vibrance 9-4,1,4.92
IGORA Royal 12-0,1,5.55
IGORA Royal Nude 6-46,1,5.55
Vibrance 5-1,1,4.95
IGORA Royal 8-65,1,5.55
IGORA Royal 5-1,1,5.55
vibrance 7-57,2,9.84
Page 1 ,,
IGORA Color10 9-0 ,1,5.55
"Vibrance 9,5-4",3,14.76
IGORA Royal 7-57,2,11.10
BM toning ice,3,19.26
Vibrance 6-63,1,4.92
IGORA Royal 6-88,1,5.55
IGORA Royal 7-77,4,22.20
"Vibrance 9,5-21",4,19.68
Vibrance 7-65,4,19.68
Vibrance 9-0,3,14.76
IGORA Royal 8-4,1,5.55
IGORA Royal 9-65,1,5.55
IGORA Royal 5-4,1,5.55
IGORA Royal 3-0,1,5.55
BM toning strawberry,1,6.42
Vibrance 9-55,1,4.92
Vibrance 8-0,3,14.76
Vibrance 9-7,2,9.84
TBH 6-19 C ,2,12.84
Vibrance 7-55,1,4.92
Vibrance 8-19,3,14.76
IGORA Royal 0-11,2,11.10
IGORA Royal 6-4,1,5.55
Vibrance 5-00,1,4.92
Vibrance 8-46,5,24.60
Vibrance 7-1,2,9.84
IGORA Royal FL L-89,1,5.76
"Vibrance 9,5-1",15,73.80
IGORA Royal E-0,2,11.10
"IGORA Royal 9,5-1",3,16.65
IGORA Royal 6-65,2,11.10
IGORA Royal 6-00,4,22.20
IGORA Royal 8-1,2,11.10
IGORA Royal 5-65,1,5.55
IGORA Royal 6-77,1,5.55
Vibrance 7-4,3,14.76
IGORA Royal ABS 7-560,2,11.52
IGORA Royal 5-00,2,11.10
Vibrance 9-57,1,4.92
Page 2 ,,
IGORA Royal ABS 4-60,1,5.76
IGORA ROYAL OPULESCENCE 6-78,1,5.76
"Vibrance 9,5-98",1,4.92
"Vibrance 9,5-49",5,24.60
Vibrance 6-12,1,4.92
Vibrance 7-77,2,9.84
IGORA Royal 6-99,1,5.55
IGORA Royal ABS 7-60,2,11.52
IGORA Royal 5-88,1,5.55
IGORA Royal ABS 5-70,1,5.76
"IGORA Royal 9,5-49",1,5.55
IGORA Royal 8-00,6,33.30
Vibrance 8-11,6,29.52
Vibrance 5-0,1,4.92
IGORA Royal Nude 7-46,5,27.75
IGORA Royal 7-4,2,11.10
IGORA Royal 1-0,1,5.55
IGORA Royal Nude 8-46,1,5.55
IGORA Royal D-0,2,11.10
IGORA Royal ABS 8-140,2,11.52
Vibrance 6-0,1,4.92
IGORA Royal 9-1,1,5.55
IGORA Royal 7-0,4,22.20
IGORA Royal 9-00,2,11.10
IGORA Royal 10-21,1,5.55
Vibrance 9-1,3,14.76
IGORA Royal 8-77,3,16.65
IGORA Royal 6-0,4,22.20
IGORA Royal ABS 7-70,1,5.76
IGORA Royal 7-65,1,5.55
IGORA Royal ABS 6-60,2,11.52
IGORA Royal 6-6,2,11.10
IGORA Royal 7-1,5,27.75
IGORA Royal 4-0,2,11.10
IGORA Royal 8-0,2,11.10
IGORA Royal 6-12,2,11.10
"Vibrance 9,5-19",4,19.68
"IGORA Royal P 9,5-29",1,5.76
IGORA Royal ABS 6-460,1,5.76
Page 3 ,,
IGORA Royal 7-00,6,33.30
Vibrance 7-88,1,4.92
"IGORA Royal 9,5-22",2,11.10
IGORA Royal 10-1,1,5.55
BM toning apricot,1,6.42
TBH 5-16 C,1,6.42
Vibrance 7-0,4,19.68
IGORA Royal 8-11,1,5.55
Total,226,"1,202.28"
Total,264,"1,523.94"
Page 4 ,,
PROFESSIONAL,,
--,,
Profeesional use only,#,Cost
gloves large,1,0.00
gloves small,2,0.00
Total,3,0.00
Total,3,0.00
Joico,,
Colour Tubes,#,Cost
Joico Amethyst Purple,1,5.67
Total,1,5.67
Total,1,5.67
Kevin.Murphy,,
Professional use only,#,Cost
REPAIR.ME.WASH 1Ltr,1,33.01
