Product Usage Report,,
Paul Kemp Hairdressing,,
01/02/20 - 29/02/20 (Days: 29),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,3,47.40
BM Premi Lift 9+,12,170.16
Igora Vario Blond Plus ,1,12.82
Total,16,230.38
Colour Developers,#,Cost
IGORA Royal Oxigenta 9% 1 Litre,1,5.73
Vibrance 1.9% lotion,6,33.30
IGORA Royal Oxigenta 3% 1 Litre,2,11.46
BM Developer 2%,3,18.18
IGORA Royal Oxigenta 6% 1 Litre,5,28.65
BM Developer 9%,1,6.06
BM Developer 6%,8,48.48
Total,26,151.86
Colour Tubes,#,Cost
Vibrance Ashy Cedar 7-21,1,4.92
"Vibrance 9,5-1",10,49.20
IGORA Royal 6-63,40457,"224,536.35"
IGORA Royal 4-0,1,5.55
TBH 4-64 W,1,6.42
IGORA Royal 6-0,4,22.20
IGORA Royal 6-6,2,11.10
TBH 6-51 C,1,6.42
IGORA Royal FL L-77,1,5.76
IGORA Royal 10-14,1,5.55
IGORA Color10 5-0 ,1,5.55
IGORA Royal 9-1,3,16.65
IGORA Royal 5-6,1,5.55
"IGORA Royal 9,5-22",1,5.55
IGORA ROYAL OPULESCENCE 8-19,1,5.76
Page 1 ,,
IGORA Royal 5-1,1,5.55
Vibrance 9-1,5,24.60
IGORA Royal 6-77,2,11.10
IGORA Royal ABS 8-01,1,5.76
IGORA Royal 7-77,3,16.65
IGORA Color10 8-65,1,5.55
Vibrance 7-65,3,14.76
IGORA Royal 6-1,2,11.10
Vibrance 6-46,3,14.76
Igora dusted rouge 7-982,1,5.76
IGORA Royal 8-1,1,5.55
IGORA Royal 7-0,5,27.75
Vibrance 8-0,5,24.60
IGORA Royal 6-65,1,5.55
IGORA Royal 9-4,1,5.55
Vibrance 7-4,1,4.92
IGORA Color10 9-0 ,1,5.55
IGORA Royal Nude 7-46,3,16.65
IGORA Royal 8-00,6,33.30
"IGORA Royal 9,5-49",2,11.10
"IGORA Royal 9,5-1",7,38.85
IGORA Royal 9-00,3,16.65
Vibrance 5-65,1,4.92
Vibrance 9-55,1,4.92
Vibrance 7-1,5,24.60
Vibrance 9-4,1,4.92
IGORA Royal 5-00,2,11.10
IGORA Royal 7-57,1,5.55
"Vibrance 9,5-19",5,24.60
"IGORA Royal 9,5-4",1,5.55
IGORA Royal 8-11,3,16.65
Vibrance 6-12,2,9.84
IGORA Royal Nude 10-46,1,5.55
Vibrance 7-77,2,9.84
IGORA Royal 10-1,1,5.55
BM toning sand,1,6.42
IGORA Royal 6-00,3,16.65
IGORA Royal 5-68,1,5.55
TBH 8-19 C,1,6.42
Page 2 ,,
IGORA Royal 6-88,2,11.10
"Vibrance 9,5-49",3,14.76
IGORA Royal 7-1,3,16.65
Vibrance 6-78,1,4.92
Vibrance 8-11,5,24.60
IGORA Royal 9-65,2,11.10
IGORA Royal ABS 7-70,1,5.76
IGORA Royal 3-0,1,5.55
IGORA Color10 7-0 ,2,11.10
"Vibrance 9,5-21",3,14.76
Vibrance 9-0,4,19.68
TBH 9-06N,1,6.42
IGORA Royal 6-68,1,5.55
IGORA Royal Nude 6-46,1,5.55
IGORA Royal 7-00,6,33.30
Vibrance 7-0,3,14.76
IGORA Royal 5-88,2,11.10
"Vibrance 9,5-46",6,29.52
IGORA Royal 6-99,3,16.65
IGORA Royal FL L-89,1,5.76
Vibrance 6-0,2,9.84
IGORA Royal ABS 9-560,1,5.76
IGORA Royal 8-0,1,5.55
IGORA Royal 5-7,1,5.55
"Vibrance 9,5-4",2,9.84
BM toning ice,4,25.68
