Product Usage Report,,
Paul Kemp Hairdressing,,
01/09/19 - 30/09/19 (Days: 30),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,18,255.24
Igora Vario Blond Super Plus ,2,31.60
Total,20,286.84
Colour Developers,#,Cost
BM Developer 2%,5,30.30
Vibrance 1.9% lotion,13,72.15
BM Developer 6%,13,78.78
IGORA Royal Oxigenta 3% 1 Litre,2,11.46
Vibrance 1.9% gel activator,1,5.55
IGORA Royal Oxigenta 9% 1 Litre,1,5.73
IGORA Royal Oxigenta 6% 1 Litre,3,17.19
Total,38,221.16
Colour Tubes,#,Cost
IGORA Royal 6-77,1,5.55
IGORA Royal 7-65,2,11.10
vibrance 7-57,2,9.84
IGORA Royal 7-4,1,5.55
IGORA Royal 0-55,1,5.55
Vibrance 9-1,5,24.60
Vibrance 6-63,1,4.92
TBH 9-49 C,1,6.42
Vibrance 8-46,6,29.52
IGORA Royal 4-99,1,5.55
Vibrance 3-0,1,4.92
"IGORA Royal 9,5-49",3,16.65
IGORA Royal ABS 9-560,1,5.76
BM toning caramel,1,6.42
BM toning ice,10,64.20
IGORA Royal 5-0,1,5.55
Page 1 ,,
IGORA Royal FL L-22,1,5.76
BM toning steel blue,1,6.42
IGORA Royal 8-00,5,27.75
"Vibrance 9,5-4",4,19.68
IGORA Royal 10-1,2,11.10
IGORA Royal Absolutes 7-40,1,5.76
IGORA Royal 12-1,2,11.10
Vibrance 7-77,1,4.92
Vibrance 9-4,1,4.92
IGORA Royal 9-1,8,44.40
Vibrance 7-0,3,14.76
BM Hi-Lighting Cool Rosé,1,6.42
IGORA Royal 8-1,1,5.55
IGORA Royal 5-6,1,5.55
"IGORA Royal 9,5-4",6,33.30
IGORA Royal SW Grey Lilac,1,5.76
IGORA Royal 4-0,2,11.10
Vibrance 7-1,7,34.44
Vibrance 5-0,1,4.92
IGORA Royal 8-65,1,5.55
IGORA Royal 3-0,1,5.55
Vibrance 0-00,1,4.92
IGORA Royal 9-00,2,11.10
IGORA Royal 6-1,1,5.55
BM Bleach & tone pastel additive,1,6.42
"Vibrance 9,5-5",1,4.92
IGORA Color10 7-12,1,5.55
IGORA Royal 7-00,5,27.75
"Vibrance 9,5-1",11,54.12
Vibrance 6-12,3,14.76
IGORA Royal 9-7,1,5.55
IGORA Royal 7-0,1,5.55
IGORA Royal 10-21,1,5.55
IGORA Royal Nude 6-46,2,11.10
IGORA Royal 6-12,3,16.65
IGORA Royal 8-11,6,33.30
IGORA Royal ABS 9-40,1,5.76
BM toning sand,8,51.36
IGORA Royal FL L-77,1,5.76
Page 2 ,,
IGORA Royal 7-1,8,44.40
IGORA Royal 6-65,1,5.55
"Vibrance 9,5-46",4,19.68
Vibrance 9-7,2,9.84
Vibrance 5-65,1,4.92
"IGORA Royal 9,5-1",5,27.75
"Vibrance 9,5-19",5,24.60
IGORA Royal 12-46,1,5.55
Vibrance 5-1,2,9.90
"Vibrance 9,5-49",3,14.76
Vibrance 1-0,1,4.92
IGORA Royal 5-00,1,5.55
Vibrance 7-65,5,24.60
Vibrance 9-0,1,4.92
IGORA Royal SW Silver,2,11.52
Vibrance 6-46,4,19.68
IGORA Color10 6-4 ,1,5.55
IGORA Royal 6-00,4,22.20
IGORA Royal ABS 5-60,2,11.52
Vibrance 5-4,1,4.92
IGORA Royal 9-65,3,16.65
IGORA Royal 9-55,1,5.55
Vibrance 7-4,2,9.84
IGORA Royal Nude 8-46,3,16.65
Vibrance 8-11,6,29.52
Vibrance 8-19,2,9.84
Vibrance 6-0,2,9.84
"IGORA Royal 9,5-22",1,5.55
IGORA Royal Nude 7-46,5,27.75
IGORA Royal 6-0,2,11.10
"Vibrance 9,5-21",3,14.76
IGORA Royal D-0,1,5.55
Vibrance 8-0,3,14.76
IGORA Royal E-0,1,5.55
Vibrance 9-65,2,9.84
Vibrance 9-57,1,4.92
IGORA Royal ABS 4-60,1,5.76
Total,232,"1,248.24"
Page 3 ,,
Total,290,"1,756.24"
Page 4 ,,
PROFESSIONAL,,
--,,
Profeesional use only,#,Cost
gloves large,1,0.00
gloves small,3,0.00
Total,4,0.00
Total,4,0.00
Kevin.Murphy,,
Professional use only,#,Cost
HYDRATE.ME.WASH 1Ltr,1,24.43
REPAIR.ME.WASH 1Ltr,1,33.01
REPAIR.ME.RINSE 1Ltr,1,33.01
MAXI.WASH 1Ltr,1,22.94
Total,4,113.39
Total,4,113.39
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Colour10 5-1,1,5.55
Total,1,5.55
Hair Products (Prep),#,Cost
pH 4.5 Color Freeze Conditioner,1,18.30
Total,1,18.30
Profeesional use only,#,Cost
Silver foil (box of 3) 90m Plain ,4,43.20
Total,4,43.20
Professional use only,#,Cost
Hyaluronic Moisture Kick shampoo,1,10.47
BW pH 4.5 Color Freeze Silver Shampoo,1,17.45
Total,2,27.92
Total,8,94.97
Page 5 ,,
RETAIL,,
Kevin.Murphy,,
Hair Products (Wet to Dry),#,Cost
SHIMMER.ME BLONDE,2,27.08
SMOOTH.AGAIN,1,16.25
Total,3,43.33
Total,3,43.33
Schwarzkopf,,
Hair Products (Finish),#,Cost
Osis Mighty Matte 85ml,1,5.49
OSIS+ Soft Dust ,1,6.75
Osis Dust It 10gr,1,6.75
Total,3,18.99
Hair Products (Prep),#,Cost
Peptide Repair Rescue : Blow-Defence,2,16.20
Total,2,16.20
Hair Products (Wet to Dry),#,Cost
Osis Hairbody 200ml,1,5.49
peptide repair rescue sealed ends,1,7.17
Osis Blow & Go 200ml,3,18.66
Total,5,31.32
Professional use only,#,Cost
Peptide Repair Rescue Deep Nourishing Shampoo,1,17.45
Total,1,17.45
Total,11,83.96
Schwarzkopf Professional,,
Colour Tubes,#,Cost
VIBRANCE 6-16,1,4.92
Total,1,4.92
Total,1,4.92
Page 6 ,,
