Product Usage Report,,
Paul Kemp Hairdressing,,
01/09/20 - 30/09/20 (Days: 30),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,10,141.80
Igora Vario Blond Super Plus ,1,15.80
Total,11,157.60
Colour Developers,#,Cost
BM Developer 6%,6,36.36
IGORA Royal Oxigenta 6% 1 Litre,4,22.92
BM Developer 2%,4,24.24
IGORA Royal Oxigenta 3% 1 Litre,2,11.46
IGORA Royal Oxigenta 9% 1 Litre,1,5.73
Vibrance 1.9% lotion,6,33.30
Total,23,134.01
Colour Tubes,#,Cost
IGORA Royal FL L-77,2,11.52
Vibrance 5-00,1,4.92
"IGORA Royal 9,5-49",3,16.65
"Vibrance 9,5-49",1,4.92
Vibrance 8-0,3,14.76
Vibrance 5-1,3,14.85
IGORA Royal 12-1,1,5.55
Vibrance 7-77,2,9.84
disheveled nudes 8-211,1,5.76
Vibrance 7-4,3,14.76
IGORA Royal 8-65,1,5.55
IGORA Royal 9-7,3,16.65
Vibrance 9-4,2,9.84
IGORA Royal 7-57,1,5.55
IGORA Royal Nude 8-46,4,22.20
IGORA Royal 9-98,1,5.55
"Vibrance 9,5-21",1,4.92
Page 1 ,,
Vibrance 5-4,1,4.92
IGORA Royal 7-1,3,16.65
Vibrance 0-00,1,4.92
IGORA Royal 10-1,2,11.10
Vibrance 6-0,3,14.76
IGORA Royal 5-0,2,11.10
IGORA Royal 5-1,2,11.10
TBH 5-16 C,2,12.84
"Vibrance 9,5-1",8,39.36
IGORA Royal 3-0,1,5.55
Vibrance 9-7,1,4.92
IGORA Royal 9-4,1,5.55
"Vibrance 9,5-46",3,14.76
Vibrance 7-65,2,9.84
IGORA Royal 9-0,1,5.55
Vibrance 7-1,4,19.68
IGORA Royal 9-00,2,11.10
IGORA Royal 6-00,3,16.65
IGORA Royal 7-77,3,16.65
TBH 10-19 C,3,0.00
"IGORA Royal P 9,5-89",1,5.76
IGORA Royal 8-00,3,16.65
vibrance 7-57,1,4.92
"Vibrance 9,5-5",1,4.92
Vibrance 8-19,1,4.92
Vibrance 6-68,1,4.92
IGORA Royal 3-68,1,5.55
Vibrance 5-65,1,4.92
IGORA Royal Opulescence 9-57,1,5.76
IGORA Royal 8-1,1,5.55
IGORA Color10 9-00,1,5.55
IGORA Royal 9-1,2,11.10
Vibrance 6-12,1,4.92
IGORA Royal 6-99,2,11.10
Vibrance 6-46,1,4.92
IGORA Royal 6-65,2,11.10
IGORA Royal 8-4,1,5.55
Vibrance 9-1,2,9.84
IGORA Royal 7-0,3,16.65
