Product Usage Report,,
Paul Kemp Hairdressing,,
01/04/19 - 30/04/19 (Days: 30),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,17,241.06
Igora Vario Blond Super Plus ,3,47.40
Total,20,288.46
Colour Developers,#,Cost
Vibrance 1.9% lotion,11,61.05
IGORA Royal Oxigenta 9% 1 Litre,1,5.73
BM Developer 6%,11,66.66
BM Developer 2%,5,30.30
IGORA Royal Oxigenta 12% 1 Litre,1,5.73
IGORA Royal Oxigenta 6% 1 Litre,4,22.92
IGORA Royal Oxigenta 3% 1 Litre,3,17.19
Total,36,209.58
Colour Tubes,#,Cost
IGORA Color10 7-7,1,5.55
Vibrance 8-46,6,29.52
IGORA Royal 6-88,1,5.55
Vibrance 4-68,1,4.92
Vibrance 5-67,1,4.92
Vibrance 5-7,1,4.92
IGORA Royal 4-6,1,5.55
"IGORA Royal 9,5-4",1,5.55
"IGORA Royal P 9,5-29",1,5.76
IGORA Royal 12-19,1,5.55
IGORA Royal 7-00,7,38.85
IGORA Royal 12-1,1,5.55
IGORA Color10 7-0 ,1,5.55
IGORA Royal 4-68,2,11.10
Vibrance 8-19,4,19.68
IGORA Royal 6-77,2,11.10
Page 1 ,,
IGORA Royal Nude 6-46,3,16.65
IGORA Royal SW Grey Lilac,2,11.52
IGORA Royal 10-4,1,5.55
IGORA Royal 9-00,3,16.65
Vibrance 9-65,2,9.84
IGORA Royal 6-0,3,16.65
BM toning strawberry,2,12.84
"Vibrance 9,5-46",9,44.28
Vibrance 6-12,4,19.68
Vibrance 9-57,1,4.92
IGORA Royal Nude 10-46,1,5.55
IGORA Royal 1-0,1,5.55
IGORA ROYAL OPULESCENCE 8-19,3,17.28
IGORA Royal 6-99,1,5.55
IGORA Royal 6-1,1,5.55
"Vibrance 9,5-1",14,68.88
IGORA Royal 12-0,1,5.55
IGORA Royal 10-14,1,5.55
IGORA Royal ABS 8-140,1,5.76
"IGORA Royal 9,5-49",2,11.10
"Vibrance 9,5-49",7,34.44
IGORA Royal 6-4,1,5.55
IGORA Royal 6-6,1,5.55
Vibrance 6-0,2,9.84
IGORA Royal 8-11,7,38.85
IGORA Royal 7-1,5,27.75
IGORA Royal 6-63,1,5.55
IGORA Royal SW Silver,2,11.52
vibrance 7-57,2,9.84
BM toning sand,1,6.42
"Vibrance 9,5-5",1,4.92
Vibrance 6-46,4,19.68
IGORA Royal 3-0,1,5.55
Vibrance 7-00,1,4.92
Vibrance 5-65,1,4.92
Vibrance 6-63,1,4.92
IGORA Royal Nude 8-46,4,22.20
"IGORA Royal P 9,5-74",1,5.76
IGORA Royal E-1,1,5.55
Page 2 ,,
IGORA Royal 8-00,4,22.20
Vibrance 8-11,3,14.76
IGORA Royal 5-0,5,27.75
IGORA Royal 9-4,1,5.55
"Vibrance 9,5-21",6,29.52
Vibrance 7-0,7,34.44
Vibrance 7-65,5,24.60
IGORA Royal 10-1,1,5.55
IGORA Royal Nude 4-46,2,11.10
Vibrance 0-00,1,4.92
Vibrance 8-0,3,14.76
Vibrance 6-99,1,4.92
IGORA Royal 9-65,1,5.55
IGORA Royal 4-0,1,5.55
IGORA Royal 7-65,1,5.55
Vibrance 9-4,1,4.92
IGORA Royal 8-0,1,5.55
Vibrance 0-00,1,4.92
BM toning lilac,1,6.42
IGORA Royal 9-0,1,5.55
IGORA Royal 5-00,4,22.20
disheveled nudes 8-211,1,5.76
Vibrance 6-68,1,4.92
Vibrance 9-0,2,9.84
Vibrance 0-77,1,4.92
Vibrance 9-1,7,34.44
IGORA Royal 0-11,2,11.10
BM toning apricot,1,6.42
"IGORA Royal 9,5-1",4,22.20
Vibrance 5-1,1,4.95
"IGORA Royal P 9,5-89",1,5.76
IGORA Royal 8-65,1,5.55
IGORA Royal 5-88,1,5.55
Vibrance 6-6,3,14.76
IGORA Royal E-0,1,5.55
IGORA Royal 6-00,5,27.75
IGORA Royal 4-99,1,5.55
Vibrance 5-00,1,4.92
IGORA Royal 5-5,1,5.55
Page 3 ,,
IGORA Royal FL L-88,1,5.76
IGORA Royal 7-0,3,16.65
"Vibrance 9,5-4",10,49.20
Vibrance 0-11,2,9.84
BM Bleach & tone pastel additive,2,12.84
Vibrance 5-0,1,4.92
IGORA Royal 7-4,2,11.10
Vibrance 9-7,1,4.92
Vibrance 7-77,2,9.84
Vibrance 7-55,1,4.92
Vibrance 1-0,1,4.92
IGORA Royal Nude 7-46,7,38.85
IGORA Royal 7-77,2,11.10
IGORA Royal 1-1,1,5.55
BM toning ice,9,57.78
IGORA Royal 6-65,4,22.20
Vibrance 7-1,3,14.76
IGORA Royal 5-6,1,5.55
IGORA Royal FL L-89,1,5.76
"Vibrance 9,5-19",12,59.04
IGORA Royal 8-4,1,5.55
IGORA Royal 0-33,1,5.55
Vibrance 7-4,2,9.84
IGORA Royal 6-12,2,11.10
Vibrance 4-46,1,4.92
IGORA Royal 8-1,4,22.20
IGORA Royal D-0,1,5.55
"Vibrance 9,5-98",2,9.84
Total,298,"1,580.07"
Total,354,"2,078.11"
Page 4 ,,
PROFESSIONAL,,
--,,
Profeesional use only,#,Cost
gloves small,4,0.00
Total,4,0.00
Total,4,0.00
Kevin.Murphy,,
Hair Products (Prep),#,Cost
Crystal.Angel,1,24.43
Total,1,24.43
Professional use only,#,Cost
HYDRATE.ME.WASH 1Ltr,1,24.43
MAXI.WASH 1Ltr,1,22.94
SMOOTH.AGAIN.WASH 1Ltr,1,24.43
BLONDE.ANGEL 1Ltr,2,48.86
REPAIR.ME.WASH 1Ltr,2,66.02
YOUNG.AGAIN.WASH 1Ltr,1,33.01
Total,8,219.69
Total,9,244.12
Schwarzkopf,,
Colour Misc,#,Cost
Color Remover,1,3.55
Total,1,3.55
Profeesional use only,#,Cost
Silver foil (box of 3) 90m Plain ,2,21.60
Total,2,21.60
Professional use only,#,Cost
bc fibre clinix peptide repair booster,1,16.26
bc fibre clinix hyaluronic moisture booster,1,16.26
fibre clinix tribond treatment for coarse hair,1,14.49
BW pH 4.5 Color Freeze Silver Shampoo,1,17.45
Total,4,64.46
Total,7,89.61
Page 5 ,,
RETAIL,,
Hair Tools,,
Hair Tools,#,Cost
"Hair tools 2"" waved grips brown",1,7.92
Total,1,7.92
Total,1,7.92
Kevin Murphy,,
