Product Usage Report,,
Paul Kemp Hairdressing,,
01/06/19 - 30/06/19 (Days: 30),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,4063,"57,613.34"
Igora Vario Blond Super Plus ,2,31.60
Total,4065,"57,644.94"
Colour Developers,#,Cost
IGORA Royal Oxigenta 9% 1 Litre,1,5.73
Vibrance 1.9% lotion,11,61.05
IGORA Royal Oxigenta 6% 1 Litre,4,22.92
IGORA Royal Vibrance Developer Lotion 4% Litre,1,5.55
BM Developer 2%,5,30.30
BM Developer 6%,15,90.90
IGORA Royal Oxigenta 3% 1 Litre,2,11.46
Vibrance 1.9% gel activator,1,5.55
Total,40,233.46
Colour Tubes,#,Cost
IGORA Royal 10-21,1,5.55
IGORA Royal 6-1,1,5.55
IGORA Royal 5-1,1,5.55
Vibrance 9-57,1,4.92
"Vibrance 9,5-1",19,93.48
IGORA Royal 8-4,1,5.55
IGORA Royal 8-0,1,5.55
BM Bleach & tone pastel additive,2,12.84
IGORA Royal 7-57,1,5.55
Vibrance 9-4,1,4.92
"Vibrance 9,5-21",3,14.76
IGORA Royal 5-0,1,5.55
Vibrance 9-65,2,9.84
IGORA Royal Opulescence 9-57,1,5.76
Vibrance 0-11,1,4.92
Page 1 ,,
IGORA Royal 9-4,1,5.55
Vibrance 6-0,2,9.84
IGORA Royal 6-12,2,11.10
Vibrance 5-1,1,4.95
disheveled nudes 12-481,1,5.76
IGORA Royal 10-4,1,5.55
Vibrance 7-55,1,4.92
"IGORA Royal 9,5-1",10,55.50
IGORA Royal 12-2,1,5.55
IGORA Royal ABS 4-60,1,5.76
IGORA Royal ABS 9-40,1,5.76
TBH 10-51 C,1,0.00
Vibrance 8-19,3,14.76
IGORA Royal 7-00,7,38.85
IGORA Royal 4-65,1,5.55
BM toning ice,4,25.68
IGORA Royal 6-88,1,5.55
IGORA Royal 5-65,1,5.55
Vibrance 7-4,3,14.76
IGORA Royal 12-1,1,5.55
vibrance 7-57,4,19.68
IGORA Royal ABS 5-60,2,11.52
IGORA Royal Nude 4-46,1,5.55
Vibrance 8-0,2,9.84
IGORA Color10 8-65,1,5.55
Vibrance 6-63,1,4.92
Vibrance 9-1,6,29.52
IGORA Royal 10-0,1,5.55
IGORA Royal 6-65,4,22.20
Vibrance 6-6,5,24.60
IGORA Royal 3-0,1,5.55
IGORA Royal SW Silver,1,5.76
IGORA Color10 6-4 ,2,11.10
BM toning caramel,1,6.42
IGORA Royal 9-00,3,16.65
Vibrance 7-65,6,29.52
IGORA Royal 5-68,1,5.55
IGORA Royal Nude 6-46,2,11.10
Vibrance 6-12,3,14.76
Page 2 ,,
Vibrance 0-00,1,4.92
IGORA Royal Nude 7-46,2,11.10
"Vibrance 9,5-49",8,39.36
IGORA Royal 8-11,6,33.30
BM toning sand,1,6.42
IGORA Royal Nude 8-46,4,22.20
IGORA Royal 9-65,1,5.55
IGORA Royal Opulescence 5-67,1,5.76
IGORA Color10 5-12 ,1,5.55
Vibrance 6-46,1,4.92
Vibrance 8-11,8,39.36
"IGORA Royal P 9,5-43",1,5.76
IGORA Royal 12-0,1,5.55
BM toning lilac,4,25.68
BM toning steel blue,1,6.42
Vibrance 9-55,1,4.92
"IGORA Royal 9,5-4",2,11.10
IGORA Royal 6-00,5,27.75
IGORA Color10 9-0 ,1,5.55
IGORA Color10 9-12 ,1,5.55
IGORA Color10 7-12,1,5.55
IGORA Royal 9-7,1,5.55
IGORA Royal 6-99,1,5.55
IGORA Royal 8-65,1,5.55
IGORA Royal 6-0,3,16.65
IGORA Royal 6-6,1,5.55
IGORA Royal FL L-89,1,5.76
TBH 8-06N,1,6.42
"Vibrance 9,5-19",6,29.52
TBH 9-49 C,1,6.42
"Vibrance 9,5-5",1,4.92
IGORA Royal 9-1,3,16.65
Igora dusted rouge 7-982,1,5.76
Vibrance 5-5,1,4.92
Vibrance 8-46,5,24.60
"Vibrance 9,5-4",4,19.68
IGORA Royal 7-4,1,5.55
TBH 9-16 C,1,6.42
Vibrance 7-1,7,34.44
Page 3 ,,
IGORA Royal 7-1,4,22.20
IGORA Royal ABS 6-70,2,11.52
IGORA Royal 9-55,2,11.10
IGORA Royal ABS 8-60,1,5.76
Vibrance 7-0,1,4.92
IGORA Royal 8-1,1,5.55
IGORA Royal 4-0,1,5.55
TBH 10-19 C,1,0.00
IGORA Royal 7-65,1,5.55
"IGORA Royal P 9,5-29",1,5.76
"IGORA Royal 9,5-49",5,27.75
IGORA Royal 4-63,1,5.55
IGORA Royal 0-11,2,11.10
Igora Royal 6-299,1,5.76
IGORA Royal 8-00,4,22.20
IGORA Royal ABS 7-60,1,5.76
IGORA Royal 10-1,2,11.10
Vibrance 5-0,1,4.92
IGORA Royal 5-00,5,27.75
"Vibrance 9,5-46",6,29.52
IGORA Royal 6-63,1,5.55
BM toning strawberry,3,19.26
Total,267,"1,418.43"
Total,4372,"59,296.83"
Page 4 ,,
PROFESSIONAL,,
--,,
