Product Usage Report,,
Paul Kemp Hairdressing,,
01/05/19 - 31/05/19 (Days: 31),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
YOUNG.AGAIN OIL,1,17.88
Total,1,17.88
Hair Products (Wet to Dry),#,Cost
Killer.Waves,1,16.79
ANTI.GRAVITY.SPRAY,1,12.46
SHIMMER.ME BLONDE,1,13.54
Total,3,42.79
Total,6,86.67
Schwarzkopf,,
Hair Products (Finish),#,Cost
Osis Elastic 300ml,1,5.25
Osis Freeze 300ml,1,5.25
Total,2,10.50
Hair Products (Prep),#,Cost
hyaluronic moisture kick micellar spray conditioner,1,6.36
pH 4.5 Colour Freeze Spray Conditioner,1,6.36
blondme blush wash strawberry,1,14.40
Total,3,27.12
Hair Products (Wet to Dry),#,Cost
Osis Blow & Go 200ml,1,6.22
peptide repair rescue sealed ends,1,7.17
Osis Hairbody 200ml,1,5.49
Total,3,18.88
Total,8,56.50
Page 7 ,,
