Product Usage Report,,
Paul Kemp Hairdressing,,
01/02/19 - 28/02/19 (Days: 28),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,3,47.40
BM Premi Lift 9+,15,212.70
Total,18,260.10
Colour Developers,#,Cost
BM Developer 9%,1,6.06
IGORA Royal Oxigenta 6% 1 Litre,5,28.65
Vibrance activator gel 1.9%,1,5.55
Vibrance 1.9% lotion,10,55.50
BM Developer 2%,5,30.30
IGORA Royal Oxigenta 3% 1 Litre,3,17.19
BM Developer 6%,10,60.60
IGORA Royal Oxigenta 9% 1 Litre,1,5.73
Total,36,209.58
Colour Tubes,#,Cost
IGORA Royal 6-1,2,11.10
IGORA Royal 5-68,1,5.55
Vibrance 9-1,7,34.44
IGORA Royal 9-4,1,5.55
"IGORA Royal 9,5-1",7,38.85
IGORA Royal Nude 7-46,2,11.10
IGORA Royal 8-4,2,11.10
IGORA Royal 9-55,1,5.55
"Vibrance 9,5-19",9,44.28
IGORA Royal E-0,3,16.65
IGORA Royal 8-77,3,16.65
IGORA Royal SW Silver,1,5.76
Vibrance 7-1,7,34.44
IGORA Royal 6-12,3,16.65
Vibrance 5-4,1,4.92
Page 1 ,,
Vibrance 9-55,1,4.92
Vibrance 5-67,1,4.92
"Vibrance 9,5-49",8,39.36
Vibrance 4-0,1,4.92
IGORA Royal ABS 8-01,1,5.76
IGORA Royal FL L-77,1,5.76
IGORA Royal 9-00,4,22.20
IGORA Royal 4-6,1,5.55
IGORA Royal ABS 9-560,1,5.76
IGORA Royal 4-0,1,5.55
Vibrance 9-7,2,9.84
IGORA Royal 8-00,4,22.20
IGORA Royal 6-65,2,11.10
Vibrance 9-65,2,9.84
Vibrance 5-65,1,4.92
"IGORA Royal 9,5-22",1,5.55
IGORA Royal 10-1,1,5.55
IGORA Royal 8-1,3,16.65
IGORA Royal 12-19,1,5.55
Vibrance 7-0,3,14.76
Vibrance 7-4,2,9.84
Vibrance 8-11,6,29.52
IGORA Royal 8-0,1,5.55
Vibrance 8-0,4,19.68
IGORA Color10 6-6,1,5.55
IGORA Royal ABS 5-60,1,5.76
"Vibrance 9,5-46",6,29.52
Vibrance 9-4,2,9.84
"Vibrance 9,5-1",12,59.04
BM toning strawberry,1,6.42
BM Bleach & tone pastel additive,2,12.84
Vibrance 8-46,5,24.60
IGORA Royal 6-00,2,11.10
IGORA Royal 5-65,1,5.55
Vibrance 6-6,2,9.84
Vibrance 7-48,2,9.84
vibrance 7-57,2,9.84
Vibrance 6-46,4,19.68
IGORA Royal 3-0,1,5.55
Page 2 ,,
IGORA Royal 6-77,2,11.10
Vibrance 7-00,2,9.84
IGORA Royal 7-0,2,11.10
"IGORA Royal 9,5-49",3,16.65
IGORA Royal 7-4,4,22.20
IGORA Royal 8-65,1,5.55
Vibrance 5-00,2,9.84
"Vibrance 9,5-4",5,24.60
IGORA Royal Nude 8-46,3,16.65
Vibrance 6-12,1,4.92
Vibrance 7-77,3,14.76
IGORA Royal 8-11,3,16.65
Vibrance 4-13,1,4.92
IGORA Royal 10-4,1,5.55
Vibrance 7-88,1,4.92
Igora Royal 4-332,1,5.76
IGORA Royal 6-0,2,11.10
IGORA Royal 7-00,5,27.75
IGORA Royal 0-77,1,5.55
IGORA Royal 7-1,5,27.75
Vibrance 5-0,1,4.92
IGORA Royal 0-11,1,5.55
IGORA Royal 6-6,1,5.55
"IGORA Royal 9,5-4",4,22.20
"Vibrance 9,5-21",2,9.84
Vibrance 6-63,1,4.92
Vibrance 9-57,2,9.84
Vibrance 8-19,3,14.76
IGORA Royal 12-11,1,5.55
IGORA Royal Nude 4-46,1,5.55
BM toning ice,3,19.26
IGORA Royal 5-0,5,27.75
IGORA Color 10 4-00,1,5.55
IGORA Royal 5-6,1,5.55
IGORA Royal 9-1,4,22.20
BM white blend ice,1,6.42
"Vibrance 9,5-5",1,4.92
Igora Royal 3-222,1,5.76
IGORA Royal 5-00,2,11.10
Page 3 ,,
Vibrance 7-65,4,19.68
Vibrance 6-0,3,14.76
Total,238,"1,251.60"
Total,292,"1,721.28"
Page 4 ,,
PROFESSIONAL,,
--,,
Profeesional use only,#,Cost
gloves large,1,0.00
gloves small,3,0.00
Total,4,0.00
Total,4,0.00
Kevin.Murphy,,
Professional use only,#,Cost
HYDRATE.ME.WASH 1Ltr,2,48.86
SMOOTH.AGAIN.RINSE 1Ltr,1,22.21
BLONDE.ANGEL.WASH 1Ltr,1,24.43
REPAIR.ME.RINSE 1Ltr,2,66.02
ANGEL.WASH 1Ltr,1,22.94
REPAIR.ME.WASH 1Ltr,2,66.02
MAXI.WASH 1Ltr,1,22.94
Total,10,273.42
Total,10,273.42
Schwarzkopf,,
Profeesional use only,#,Cost
Silver foil (box of 3) 90m Plain ,4,43.20
Total,4,43.20
Professional use only,#,Cost
Fibreplex 2 Sealer 500ml,2,128.82
BM Keratin Restore Bonding Mask All Blondes 500ml,1,11.34
BW pH 4.5 Color Freeze Silver Shampoo,2,34.90
fibre clinix tribond treatment for coarse hair,1,14.49
Total,6,189.55
Total,10,232.75
Page 5 ,,
RETAIL,,
Kevin.Murphy,,
Hair Products (Finish),#,Cost
LIMITED EDITION SESSION.SPRAY,1,11.92
Bedroom.hair,1,13.00
Total,2,24.92
Hair Products (Wet to Dry),#,Cost
ANTI.GRAVITY.SPRAY,2,24.92
SHIMMER.ME BLONDE,2,27.08
Total,4,52.00
Total,6,76.92
Schwarzkopf,,
Hair Products (Finish),#,Cost
Osis Freeze 500ml,1,6.22
Osis Refresh Dust 300ml,1,6.60
Osis Freeze 300ml,1,5.25
OSIS Boho Rebel-Brunette,1,3.60
Total,4,21.67
Hair Products (Prep),#,Cost
blondeme blush wash silver,1,8.64
Total,1,8.64
Hair Products (Wet to Dry),#,Cost
Osis Blow & Go 200ml,2,12.44
BM Inst Blush Strawberry,1,3.00
Total,3,15.44
Total,8,45.75
Page 6 ,,
