Product Performance,,,,,,,,,,,,,,,
Jakata Salon,,,,,,,,,,,,,,,
01/07/20 - 31/07/20 (Days: 31),,,,,,,,,,,,,,,
Category All,,,,,,,,,,,,,,,
Brand All,,,,,,,,,,,,,,,
Name All,,,,,,,,,,,,,,,
Include zero sales No,,,,,,,,,,,,,,,
Brand Luxury - Category Freelance Product Sale,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Freelance Product Sale,0.00,0.00,0,39,-502,7,17,0,0,0,"2,275.52",100%,0%,NA,NA
Brand GHD - Category Hair Tools,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
ghd Gold professional styler,85.72,139.00,0,1,2,0,0,0,0,0,53.28,38%,0%,NA,5060034521877
Brand Kevin.Murphy - Category Hair Products (Finish),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
NIGHT.RIDER,13.54,25.00,0,1,0,0,0,0,0,6,-13.54,NA,0%,319,9339341001362
SESSION.SPRAY,13.00,24.00,0,1,0,0,0,0,0,2,-13.00,NA,0%,732,9339341005643
Touchable Spray,0.00,24.00,0,1,-2,0,1,0,0,0,24.00,100%,0%,270,9339341010302
Brand Kevin.Murphy - Category Hair Products (Prep),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
ANGEL.RINSE,12.46,23.00,0,3,-3,0,0,0,0,4,31.62,46%,0%,520,9339341007517
Page 1,,,,,,,,,,,,,,,
ANGEL.WASH,11.92,22.00,0,3,-3,0,0,0,0,4,8.24,19%,0%,732,9339341007494
BLONDE.ANGEL,11.38,21.00,0,1,-1,0,0,0,0,13,-11.38,NA,0%,291,9339341002284
BLONDE.ANGEL.WASH,11.92,22.00,0,3,-2,0,1,0,0,8,-13.76,-63%,0%,270,9339341007555
HYDRATE-ME.RINSE,12.46,23.00,0,1,1,0,0,0,0,7,-12.46,NA,0%,270,9339341001263
PLUMPING.RINSE,14.08,26.00,0,2,1,0,0,0,0,1,23.84,46%,0%,439,9339341003458
PLUMPING.WASH,13.00,24.00,0,3,-6,0,2,0,0,0,9.00,19%,0%,270,9339341009788
Plumping.Rinse,0.00,33.00,0,1,1,0,0,0,0,0,0.00,NA,0%,NA,9339341007456
YOUNG.AGAIN OIL,17.88,33.00,0,1,4,0,0,0,0,2,15.12,46%,0%,326,9339341001744
YOUNG.AGAIN.MASQUE,17.88,33.00,0,1,2,0,0,0,0,3,-17.88,NA,0%,NA,9339341003076
YOUNG.AGAIN.RINSE,14.08,26.00,0,1,0,0,0,0,0,2,-14.08,NA,0%,732,9339341003069
YOUNG.AGAIN.WASH,13.00,24.00,0,1,1,0,0,0,0,1,-13.00,NA,0%,781,9339341003052
hydrate-me.rinse 458ml,0.00,30.00,0,1,-1,0,0,0,0,0,0.00,NA,0%,647,9339341004257
Brand Kevin.Murphy - Category Hair Products (Wet to Dry),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
ANTI.GRAVITY.SPRAY,12.46,23.00,0,2,-4,0,0,0,0,7,21.08,46%,0%,270,9339341009962
BODY.MASS,17.88,33.00,0,2,-1,1,1,0,0,1,-2.76,-8%,0%,289,9339341003465
FULL.AGAIN,12.46,23.00,0,1,2,0,0,0,0,0,10.54,46%,0%,557,9339341002130
Heated.Defense,13.54,25.00,0,1,3,0,0,0,0,1,11.46,46%,0%,326,9339341006336
SHIMMER.SHINE,13.54,25.00,0,1,-1,0,0,0,0,9,-13.54,NA,0%,270,9339341003045
THICK.AGAIN,16.79,31.00,0,1,0,0,0,0,0,3,-16.79,NA,0%,375,9339341004004
UN.TANGLED,12.46,23.00,0,2,0,1,1,0,0,3,-24.92,NA,0%,270,9339341004011
Brand Schwarzkopf - Category Hair Products (Finish),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
OSiS Session Label Powder Cloud 8g,9.03,18.05,0,1,0,0,0,0,0,1,-9.03,NA,0%,369,4045787366884
Page 2,,,,,,,,,,,,,,,
OSiS Session Label Super Dry Fix 300ml,6.21,12.90,0,2,-2,0,0,0,0,3,13.38,52%,0%,730,4045787370317
Osis Dust It 10gr,6.75,13.50,0,1,0,0,0,0,0,7,6.75,50%,0%,275,4045787314199
Osis Flexwax 85ml,5.48,10.95,0,1,-1,0,1,0,0,7,5.47,50%,0%,345,4045787314700
Osis Mighty Matte 85ml,5.49,11.39,0,4,0,0,0,0,0,0,-21.96,NA,0%,275,4045787314762
Osis Thrill 100ml,6.75,14.04,0,1,6,0,0,0,0,3,7.29,52%,0%,NA,4045787140453
Osis Volume Up 250ml,6.60,13.50,0,1,9,0,0,0,0,3,6.90,51%,0%,1060,4045787314632
hyaluronic moisture kick micellar bb hydra pearl,15.90,26.50,0,1,4,0,0,0,0,3,10.60,40%,0%,NA,4045787438017
Brand Schwarzkopf - Category Hair Products (Prep),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Bold Wash Red,7.74,15.00,0,2,-1,0,0,0,0,6,14.52,48%,0%,303,4045787430455
Keratin Smooth Perfect: Duo Layering,15.06,30.10,0,3,-8,1,1,0,0,13,15.02,25%,0%,NA,4045787465846
Keratin smooth perfect treatment,7.17,14.30,0,1,-2,0,0,0,0,3,-7.17,NA,0%,507,4045787429695
Peptide Repair Rescue : Blow-Defence,8.10,15.80,0,1,2,0,0,0,0,8,7.70,49%,0%,275,4045787465860
blondme blush wash lilac,14.40,17.25,0,1,0,0,0,0,0,3,2.85,17%,0%,319,4045787423761
hyaluronic moisture kick micellar conditioner,6.36,12.30,0,2,-2,0,0,0,0,2,-0.42,-3%,0%,268,4045787429459
hyaluronic moisture kick micellar spray conditioner,6.36,12.65,0,2,-22,3,4,0,0,25,12.58,50%,0%,275,4045787429497
hyaluronic moisture kick micellar treatment,7.17,13.90,0,1,3,0,0,0,0,3,6.73,48%,0%,275,4045787429534
pH 4.5 Colour Freeze Rich Micellar Shampoo,5.73,11.10,0,2,-11,1,1,0,0,10,10.74,48%,0%,345,4045787428797
pH 4.5 Colour Freeze Silver Micellar Shampoo,5.73,11.45,0,2,-74,4,4,0,0,73,11.44,50%,0%,275,4045787430134
pH 4.5 Colour Freeze Spray Conditioner,6.36,12.65,0,1,-1,0,0,0,0,8,6.29,50%,0%,520,4045787429275
pH 4.5 Colour Freeze Vibrant Red Micellar Shampoo,5.73,11.10,0,1,-2,1,1,0,0,4,-5.73,NA,0%,507,4045787430257
