Product Performance,,,,,,,,,,,,,,,
Paul Kemp Hairdressing,,,,,,,,,,,,,,,
01/02/19 - 28/02/19 (Days: 28),,,,,,,,,,,,,,,
Category All,,,,,,,,,,,,,,,
Brand All,,,,,,,,,,,,,,,
Name All,,,,,,,,,,,,,,,
Include zero sales No,,,,,,,,,,,,,,,
Brand Luxury - Category Freelance Product Sale,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Freelance Product Sale,0.00,0.00,0,31,-555,0,0,0,0,0,580.11,100%,0%,NA,NA
Brand Kevin.Murphy - Category Hair Products (Finish),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
SUPER.GOO,13.54,25.00,0,1,1,0,0,0,0,0,11.46,46%,0%,451,9339341002505
Brand Kevin.Murphy - Category Hair Products (Prep),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
BALANCING.WASH,10.83,20.00,0,1,0,0,0,0,0,0,7.17,40%,0%,557,9339341000396
BLONDE.ANGEL,11.38,21.00,0,1,-1,0,0,0,0,0,-11.38,NA,0%,53,9339341002284
BLONDE.ANGEL.WASH,11.92,22.00,0,3,0,1,1,0,0,2,8.24,19%,0%,53,9339341007555
Crystal.Angel,12.46,23.00,0,1,-8,0,0,0,0,2,10.54,46%,0%,425,9339341006183
HYDRATE-ME.RINSE,12.46,23.00,1,2,-4,0,0,0,0,3,-1.92,-8%,50%,425,9339341001263
HYDRATE-ME.WASH,11.92,22.00,1,2,2,0,0,0,0,2,-1.84,-8%,50%,425,9339341001249
PLUMPING.RINSE,14.08,26.00,0,2,0,0,0,0,0,0,23.84,46%,0%,557,9339341003458
Page 1,,,,,,,,,,,,,,,
PLUMPING.WASH,13.00,24.00,0,2,2,0,0,0,0,0,22.00,46%,0%,557,9339341009788
SMOOTH.AGAIN.RINSE,12.46,23.00,0,1,3,0,0,0,0,0,10.54,46%,0%,451,9339341004837
SMOOTH.AGAIN.WASH,11.92,22.00,0,1,4,0,0,0,0,1,10.08,46%,0%,703,9339341004820
Brand Kevin.Murphy - Category Hair Products (Wet to Dry),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
ANTI.GRAVITY.SPRAY,12.46,23.00,3,3,-5,1,1,0,0,3,22.72,38%,100%,53,9339341009962
Heated.Defense,13.54,25.00,0,1,-7,0,0,0,0,2,11.46,46%,0%,89,9339341006336
MOTION.LOTION,12.46,23.00,0,1,-2,0,0,0,0,0,10.54,46%,0%,529,9339341000280
SHIMMER.ME BLONDE,13.54,25.00,4,2,-15,0,0,0,0,3,-27.08,NA,200%,89,9339341005001
