Angel.Wash,0.00,27.00,0,1,-2,0,0,0,0,5,0.00,NA,0%,646,9339341004226
BLONDE.ANGEL,11.38,21.00,13,7,-1,0,0,0,0,13,-16.66,-26%,186%,290,9339341002284
BLONDE.ANGEL.WASH,11.92,22.00,7,10,-2,0,1,0,0,8,-31.20,-35%,70%,269,9339341007555
BODY.BUILDER,13.00,24.00,2,4,0,0,0,0,0,4,20.00,28%,50%,374,9339341005650
Cool.Angel,12.46,23.00,6,6,2,0,0,0,0,6,-11.51,-18%,100%,290,9339341006213
Crystal.Angel,12.46,23.00,0,1,5,0,1,0,0,1,10.54,46%,0%,850,9339341006183
DOO.OVER,13.00,24.00,4,1,3,0,0,0,0,5,-13.00,NA,400%,374,9339341004073
HYDRATE-ME.RINSE,12.46,23.00,4,5,1,0,0,0,0,7,15.90,20%,80%,269,9339341001263
HYDRATE-ME.WASH,11.92,22.00,4,6,0,0,0,0,0,17,47.28,40%,67%,269,9339341001249
KILLER.CURLS,16.79,31.00,0,2,1,1,1,0,0,0,28.42,46%,0%,528,9339341004202
LEAVE-IN.REPAIR,17.88,33.00,2,2,3,0,0,0,0,0,30.24,46%,100%,318,9339341004868
MAXI.WASH,10.83,20.00,0,1,2,0,0,0,0,3,9.17,46%,0%,438,9339341000402
Page 3,,,,,,,,,,,,,,,
PLUMPING.RINSE,14.08,26.00,0,5,1,0,0,0,0,1,59.60,46%,0%,438,9339341003458
PLUMPING.WASH,13.00,24.00,4,17,-6,0,2,0,0,0,-29.00,-15%,24%,269,9339341009788
Plumping.Rinse,0.00,33.00,0,2,1,0,0,0,0,0,0.00,NA,0%,NA,9339341007456
Plumping.Wash,0.00,29.00,0,1,-5,0,0,0,0,5,29.00,100%,0%,NA,9339341007449
REPAIR-ME.RINSE,14.08,26.00,0,1,7,0,0,0,0,0,1.52,10%,0%,731,9339341004455
REPAIR-ME.WASH,13.00,24.00,0,3,5,0,0,0,0,0,-6.60,-20%,0%,731,9339341004448
SMOOTH.AGAIN.RINSE,12.46,23.00,0,4,3,0,0,0,0,0,-32.84,-193%,0%,704,9339341004837
SMOOTH.AGAIN.WASH,11.92,22.00,0,4,0,0,0,0,0,0,6.12,11%,0%,704,9339341004820
STIMULATE-ME.RINSE,10.83,20.00,0,4,-1,0,0,0,0,1,16.68,28%,0%,869,9339341003977
STIMULATE-ME.WASH,10.83,20.00,0,3,0,0,0,0,0,4,7.51,19%,0%,869,9339341003960
YOUNG.AGAIN OIL,17.88,33.00,10,5,4,0,0,0,0,2,34.35,28%,200%,325,9339341001744
YOUNG.AGAIN.MASQUE,17.88,33.00,0,2,2,0,0,0,0,3,-35.76,NA,0%,NA,9339341003076
YOUNG.AGAIN.RINSE,14.08,26.00,0,1,0,0,0,0,0,2,-14.08,NA,0%,731,9339341003069
YOUNG.AGAIN.WASH,13.00,24.00,0,1,1,0,0,0,0,1,-13.00,NA,0%,780,9339341003052
hydrate-me.rinse 458ml,0.00,30.00,0,1,-1,0,0,0,0,0,0.00,NA,0%,646,9339341004257
mini Angel.Rinse,3.79,7.00,0,1,2,0,0,0,0,7,1.21,24%,0%,731,NA
mini Angel.Wash,3.79,7.00,3,2,2,0,0,0,0,7,-1.58,-26%,150%,288,NA
mini Blone.Angel.Wash,3.79,7.00,0,2,-3,0,0,0,0,10,2.42,24%,0%,632,NA
mini Hydrate-Me.Rinse,3.79,7.00,0,2,3,0,0,0,0,1,4.42,37%,0%,890,NA
mini Hydrate-Me.Wash,3.79,7.00,3,3,2,0,0,0,0,0,9.63,46%,100%,288,NA
mini Maxi.Wash,3.79,7.00,6,4,1,0,0,0,0,4,10.84,42%,150%,288,NA
mini Repair-Me.Rinse,3.79,7.00,0,1,3,0,0,0,0,0,3.21,46%,0%,890,NA
mini Repair-Me.Wash,3.79,7.00,0,1,2,0,0,0,0,0,3.21,46%,0%,NA,NA
mini Smooth.Again.Rinse,3.79,7.00,3,1,3,0,0,0,0,0,3.21,46%,300%,288,NA
mini Smooth.Again.Wash,3.79,7.00,3,1,4,0,0,0,0,0,-3.79,NA,300%,288,NA
mini Young.Again.Masque,4.88,8.00,0,1,1,0,0,0,0,5,3.12,39%,0%,NA,NA
Page 4,,,,,,,,,,,,,,,
mini Young.Again.Rinse,3.79,7.00,0,2,2,0,0,0,0,0,6.42,46%,0%,NA,NA
Brand Kevin.Murphy - Category Hair Products (Wet to Dry),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
ANTI.GRAVITY,12.46,23.00,0,4,-3,0,0,0,0,9,19.16,28%,0%,556,9339341000259
ANTI.GRAVITY.SPRAY,12.46,23.00,9,8,-4,0,0,0,0,7,9.57,9%,113%,269,9339341009962
BODY.MASS,17.88,33.00,2,5,-1,1,1,0,0,1,34.35,28%,40%,288,9339341003465
EVER.SMOOTH,0.00,30.00,0,2,-2,0,0,0,0,0,60.00,100%,0%,NA,9339341012665
FULL.AGAIN,12.46,23.00,0,2,2,0,0,0,0,0,21.08,46%,0%,556,9339341002130
HAIR.RESORT.SPRAY,12.46,23.00,1,1,2,0,0,0,0,10,-12.46,NA,100%,288,9339341001621
Heated.Defense,13.54,25.00,5,4,3,0,0,0,0,1,30.84,36%,125%,325,9339341006336
Killer.Waves,16.79,31.00,0,2,6,0,0,0,0,0,28.42,46%,0%,NA,9339341006329
Mini Young.Again oil,3.91,7.00,0,2,-2,0,0,0,0,0,0.18,2%,0%,NA,NA
SHIMMER.ME BLONDE,13.54,25.00,4,6,-3,0,0,0,0,11,46.26,36%,67%,325,9339341005001
SHIMMER.SHINE,13.54,25.00,5,6,-1,0,0,0,0,9,-37.49,-86%,83%,269,9339341003045
THICK.AGAIN,16.79,31.00,2,3,0,0,0,0,0,3,11.63,19%,67%,374,9339341004004
UN.TANGLED,12.46,23.00,7,8,0,1,1,0,0,3,-7.68,-8%,88%,269,9339341004011
mini Anti.Gravity,4.33,8.00,0,1,1,0,0,0,0,4,3.67,46%,0%,NA,NA
Brand Miscellaneous - Category Internal Marketing,,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
Refferal In,0.00,0.00,0,8,13,1,1,0,0,0,0.00,NA,0%,NA,16019768
Refferal Out,0.00,0.00,0,39,-1092,0,0,0,0,0,0.00,NA,0%,NA,16021976
Page 5,,,,,,,,,,,,,,,
