Product Usage Report,,
Base Hair Academy,,
01/08/19 - 31/08/19 (Days: 31),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,5,70.90
Total,5,70.90
Colour Developers,#,Cost
BM Developer 6%,2,12.12
BM Developer 2%,2,12.12
Vibrance 1.9% lotion,3,16.65
IGORA Royal Oxigenta 6% 1 Litre,1,5.73
IGORA Royal Oxigenta 3% 1 Litre,1,5.73
Total,9,52.35
Colour Tubes,#,Cost
IGORA Royal 0-88,1,5.55
IGORA Royal 6-5,1,5.55
IGORA Royal 7-65,1,5.55
Vibrance 9-1,3,14.76
IGORA Color10 7-5 ,1,5.55
IGORA Color10 7-0 ,2,11.10
IGORA Royal 6-0,2,11.10
IGORA Royal 6-68,1,5.55
IGORA Royal 5-1,1,5.55
IGORA Royal 1-0,1,5.55
IGORA Royal SW Silver,2,11.52
Vibrance 6-0,1,4.92
Vibrance 7-4,1,4.92
BM toning steel blue,1,6.42
IGORA Royal Nude 7-46,4,22.20
BM Bleach & tone pastel additive,1,6.42
IGORA Color10 6-4 ,1,5.55
IGORA Royal 8-65,1,5.55
IGORA Color10 8-00 ,1,5.55
Page 1 ,,
IGORA Royal 6-88,1,5.55
IGORA Royal 6-1,4,22.20
IGORA Color10 4-88,1,5.55
"Vibrance 9,5-4",2,9.84
"IGORA Royal 9,5-49",2,11.10
Vibrance 5-67,1,4.92
IGORA Royal 7-4,1,5.55
IGORA Royal 8-4,2,11.10
Vibrance 8-46,1,4.92
Vibrance 7-00,1,4.92
IGORA Royal 7-1,3,16.65
IGORA Royal E-0,1,5.55
IGORA Royal 4-99,1,5.55
IGORA Royal Nude 8-46,3,16.65
IGORA Royal 3-0,2,11.10
Vibrance 8-0,1,4.92
IGORA Royal 4-0,2,11.10
IGORA Royal P 6-89,1,5.76
Vibrance 6-12,3,14.76
BM toning caramel,1,6.42
IGORA Royal FL L-89,1,5.76
Igora Royal 6-299,1,5.76
"Vibrance 9,5-1",3,14.76
Vibrance 6-6,2,9.84
IGORA Color10 6-88 ,1,5.55
IGORA Royal 5-5,2,11.10
IGORA Color10 7-7,1,5.55
Vibrance 9-00,1,4.92
Vibrance 8-11,1,4.92
Vibrance 7-65,1,4.92
IGORA Royal 0-11,1,5.55
IGORA Royal 5-99,2,11.10
IGORA Royal 5-6,1,5.55
Vibrance 7-0,1,4.92
"IGORA Royal 9,5-1",5,27.75
IGORA Royal 5-00,1,5.55
IGORA Royal 6-4,1,5.55
"Vibrance 9,5-19",2,9.84
"IGORA Royal P 9,5-29",1,5.76
Page 2 ,,
"IGORA Royal 9,5-4",4,22.20
IGORA Color10 6-00 ,1,5.55
IGORA Color10 5-12 ,1,5.55
IGORA Royal 0-77,1,5.55
IGORA Royal FL L-88,2,11.52
IGORA Royal 8-77,1,5.55
IGORA Royal SW Slate Grey,1,5.76
IGORA Color10 4-6 ,1,5.55
IGORA Royal 9-1,2,11.10
"Vibrance 9,5-98",1,4.92
Vibrance 9-0,1,4.92
Vibrance 9-4,1,4.92
IGORA Royal 5-88,3,16.65
IGORA Royal 7-55,1,5.55
IGORA Royal Nude 4-46,1,5.55
BM toning lilac,2,12.84
IGORA Royal 5-63,1,5.55
Vibrance 5-00,1,4.92
IGORA Royal 5-0,4,22.20
IGORA Royal 7-77,2,11.10
BM Bleach & tone Cool Addative,1,6.42
IGORA Royal 6-00,2,11.10
IGORA Color10 5-0 ,1,5.55
IGORA Royal 4-88,2,11.10
IGORA Royal 0-89,1,5.55
IGORA Royal 12-1,1,5.55
IGORA Color10 9-12 ,1,5.55
Vibrance 9-55,2,9.84
Vibrance 7-1,3,14.76
IGORA Royal 8-11,1,5.55
Vibrance 6-63,3,14.76
IGORA Royal 6-99,1,5.55
Vibrance 6-46,1,4.92
BM toning strawberry,1,6.42
IGORA Royal 9-7,1,5.55
IGORA Royal 8-1,3,16.65
"IGORA Royal P 9,5-89",3,17.28
BM toning ice,7,44.94
IGORA Royal 5-57,1,5.55
Page 3 ,,
IGORA Royal Nude 6-46,3,16.65
IGORA Color10 7-12,1,5.55
IGORA Royal FL L-77,2,11.52
IGORA Royal 6-77,1,5.55
IGORA Royal 6-12,2,11.10
Total,167,918.03
Total,181,"1,041.28"
Page 4 ,,
PROFESSIONAL,,
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Colour10 8-11,1,5.55
IGORA Colour10  6-0,1,5.55
IGORA Colour10 7-00,2,11.10
IGORA Royal Vibrance 5-1,2,9.84
Total,6,32.04
Total,6,32.04
Schwarzkopf Igora,,
Colour Tubes,#,Cost
c10 7-1,2,0.00
Total,2,0.00
Total,2,0.00
Page 5 ,,
RETAIL,,
Schwarzkopf Igora,,
Colour Tubes,#,Cost
color10,1,0.00
Total,1,0.00
Total,1,0.00
Page 6 ,,
