Product Usage Report,,
Base Hair Academy,,
01/02/20 - 29/02/20 (Days: 29),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,3,42.54
Igora Vario Blond Super Plus ,2,31.60
Total,5,74.14
Colour Developers,#,Cost
BM Developer 6%,2,12.12
Vibrance 1.9% lotion,1,5.55
IGORA Royal Oxigenta 3% 1 Litre,4,22.92
IGORA Royal Oxigenta 6% 1 Litre,1,5.73
BM Developer 2%,2,12.12
Total,10,58.44
Colour Tubes,#,Cost
IGORA Royal 5-68,1,5.55
Vibrance 8-11,2,9.84
IGORA Color10 7-0 ,1,5.55
BM Bleach & tone Cool Addative,1,6.42
Vibrance 7-55,1,4.92
Vibrance 8-0,2,9.84
Vibrance 7-4,1,4.92
Vibrance 7-1,1,4.92
IGORA Royal SW Silver,3,17.28
IGORA Royal Nude 7-46,1,5.55
IGORA Royal SW Grey Lilac,2,11.52
Vibrance 6-46,3,14.76
Vibrance 7-0,1,4.92
IGORA Royal 6-65,1,5.55
IGORA Royal 4-65,1,5.55
Vibrance 9-65,1,4.92
IGORA Royal D-0,1,5.55
IGORA Royal 0-55,1,5.55
Page 1 ,,
IGORA Royal 9-1,2,11.10
IGORA Royal 7-00,1,5.55
IGORA Royal E-0,1,5.55
Igora dusted rouge 7-982,1,5.76
Vibrance 6-0,1,4.92
Vibrance 5-1,2,9.90
IGORA Royal 1-0,1,5.55
IGORA Royal 4-0,1,5.55
IGORA Royal 9-7,2,11.10
IGORA Royal 8-4,1,5.55
BM toning strawberry,2,12.84
IGORA Royal 5-5,1,5.55
IGORA Royal 0-22,1,5.55
IGORA Royal 5-1,2,11.10
"Vibrance 9,5-1",2,9.84
IGORA Royal 5-7,1,5.55
IGORA Royal 7-77,2,11.10
Igora Royal 5-113,2,11.52
"IGORA Royal 9,5-1",1,5.55
IGORA Royal 6-88,3,16.65
Vibrance 9-1,1,4.92
IGORA Royal Opulescence 3-19,1,5.76
"IGORA Royal P 9,5-29",1,5.76
IGORA Royal 6-00,2,11.10
IGORA Royal 8-11,2,11.10
IGORA Royal 6-99,3,16.65
IGORA Color10 6-00 ,1,5.55
IGORA Royal Nude 8-46,1,5.55
IGORA Royal FL L-89,2,11.52
IGORA Royal 6-77,3,16.65
IGORA Royal 5-99,2,11.10
IGORA Royal 0-33,1,5.55
IGORA Royal 6-12,1,5.55
Vibrance 7-65,1,4.92
Vibrance 9-4,2,9.84
IGORA Color10 7-12,2,11.10
"IGORA Royal P 9,5-89",1,5.76
IGORA Royal 3-0,1,5.55
IGORA Royal SW Dove Grey,1,5.76
Page 2 ,,
IGORA Royal SW Slate Grey,1,5.76
IGORA Royal 9-4,1,5.55
IGORA Royal Nude 6-46,1,5.55
IGORA Royal 5-0,1,5.55
IGORA Royal 8-00,1,5.55
IGORA Royal 4-13,2,11.10
Vibrance 5-88,1,4.92
IGORA Royal FL L-77,2,11.52
IGORA Royal 7-0,2,11.10
BM toning ice,1,6.42
BM toning lilac,3,19.26
Vibrance 4-13,2,9.84
IGORA Color10 9-0 ,1,5.55
IGORA Royal 0-99,1,5.55
IGORA Royal 9-0,1,5.55
Vibrance 8-19,1,4.92
Vibrance 7-88,1,4.92
IGORA Royal FL L-88,4,23.04
"Vibrance 9,5-19",1,4.92
disheveled nudes 8-211,1,5.76
IGORA Royal 5-88,1,5.55
IGORA Royal 6-0,1,5.55
IGORA Royal 6-1,1,5.55
Total,116,637.56
Total,131,770.14
Page 3 ,,
PROFESSIONAL,,
Joico,,
Colour Tubes,#,Cost
Joico Blush,1,5.67
Joico Magenta,2,0.00
Total,3,5.67
Total,3,5.67
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Colour10 8-11,2,11.10
IGORA Colour10  6-0,1,5.55
IGORA Colour10 7-00,1,5.55
Total,4,22.20
Hair Products (Prep),#,Cost
pH 4.5 Color Freeze Conditioner,1,18.30
Hyaluronic Moisture Kick Conditioner,1,18.30
Total,2,36.60
Professional use only,#,Cost
Hyaluronic Moisture Kick shampoo,1,10.47
Total,1,10.47
Total,7,69.27
Page 4 ,,
RETAIL,,
Joico,,
Colour Tubes,#,Cost
Joico Sliver Ice,1,5.67
Total,1,5.67
Total,1,5.67
Kevin.Murphy,,
Hair Products (Wet to Dry),#,Cost
SMOOTH.AGAIN,1,16.25
Total,1,16.25
Total,1,16.25
Schwarzkopf,,
Hair Products (Prep),#,Cost
hyaluronic moisture kick micellar spray conditioner,1,6.36
pH 4.5 Colour Freeze Gold Shimmer Micellar Shampoo,1,5.73
Bold Wash Blue,1,7.50
Total,3,19.59
Professional use only,#,Cost
Peptide Repair Rescue Deep Nourishing Shampoo,1,17.45
Total,1,17.45
Total,4,37.04
Schwarzkopf Igora,,
Colour Tubes,#,Cost
color10,1,0.00
Total,1,0.00
Total,1,0.00
Page 5 ,,
