Product Usage Report,,
Base Hair Academy,,
01/09/20 - 30/09/20 (Days: 30),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,2,28.36
Igora Vario Blond Super Plus ,4,63.20
Total,6,91.56
Colour Developers,#,Cost
IGORA Royal Oxigenta 6% 1 Litre,5,28.65
BM Developer 2%,1,6.06
IGORA Royal Oxigenta 3% 1 Litre,4,22.92
BM Developer 6%,1,6.06
Vibrance 1.9% lotion,1,5.55
Total,12,69.24
Colour Tubes,#,Cost
IGORA Royal 4-88,2,11.10
IGORA Royal 6-4,1,5.55
IGORA Color10 5-12 ,1,5.55
BM toning lilac,2,12.84
IGORA Royal 6-5,1,5.55
"Vibrance 9,5-1",4,19.68
Vibrance 9-65,1,4.92
Vibrance 0-11,1,4.92
IGORA Royal 9-98,1,5.55
Vibrance 7-1,2,9.84
Vibrance 8-11,3,14.76
IGORA Royal 8-0,1,5.55
IGORA Royal Nude 7-46,2,11.10
Vibrance 9-4,1,4.92
IGORA Royal Nude 6-46,1,5.55
"Vibrance 9,5-46",3,14.76
IGORA Color 10 3-0 ,3,16.65
"IGORA Royal 9,5-1",2,11.10
Page 1 ,,
IGORA Royal FL L-77,1,5.76
IGORA Royal SW Silver,3,17.28
"Vibrance 9,5-4",1,4.92
IGORA Royal 7-65,5,27.75
Vibrance 5-57,1,4.92
IGORA Royal FL L-88,3,17.28
Vibrance Ashy Cedar 7-21,1,4.92
BM toning ice,1,6.42
BM Bleach & tone Cool Addative,1,6.42
IGORA Royal 5-1,1,5.55
Igora dusted rouge 7-764,2,11.52
IGORA Royal 7-0,2,11.10
IGORA Color10 5-0 ,1,5.55
"IGORA Royal P 9,5-29",2,11.52
BM toning sand,1,6.42
Vibrance 8-46,1,4.92
IGORA Royal 6-77,1,5.55
Vibrance 6-12,1,4.92
BM toning strawberry,1,6.42
IGORA Royal 4-0,1,5.55
IGORA Royal 5-00,2,11.10
"Vibrance 9,5-21",2,9.84
IGORA Royal 6-1,2,11.10
IGORA Royal 7-1,1,5.55
igora dusted rouge 9-674,1,5.76
IGORA Royal 8-77,3,16.65
"Vibrance 9,5-19",3,14.76
IGORA Royal 5-0,1,5.55
Vibrance 9-1,6,29.52
IGORA ROYAL OPULESCENCE 6-78,1,5.76
Vibrance 7-65,2,9.84
IGORA Royal 6-88,2,11.10
IGORA Royal SW Slate Grey,1,5.76
IGORA Color10 6-4 ,1,5.55
IGORA Royal 6-0,1,5.55
Vibrance 9-55,1,4.92
IGORA Royal 9-55,1,5.55
Vibrance 8-19,1,4.92
IGORA Royal 9-00,1,5.55
Page 2 ,,
Vibrance 7-0,2,9.84
Total,98,528.75
Total,116,689.55
Page 3 ,,
PROFESSIONAL,,
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Colour10 5-1,1,5.55
IGORA Colour10 8-11,1,5.55
Total,2,11.10
Total,2,11.10
Schwarzkopf Igora,,
Colour Tubes,#,Cost
c10 7-1,1,0.00
Total,1,0.00
Total,1,0.00
Page 4 ,,
