Product Usage Report,,
Base Hair Academy,,
01/12/19 - 31/12/19 (Days: 31),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,1,15.80
BM Premi Lift 9+,1,14.18
Total,2,29.98
Colour Developers,#,Cost
BM Developer 2%,2,12.12
BM Developer 6%,1,6.06
Vibrance 1.9% lotion,2,11.10
IGORA Royal Oxigenta 6% 1 Litre,2,11.46
Total,7,40.74
Colour Tubes,#,Cost
"Vibrance 9,5-1",1,4.92
IGORA Color10 4-88,1,5.55
IGORA Royal 6-6,1,5.55
BM toning apricot,2,12.84
IGORA Royal 6-00,1,5.55
Vibrance 7-1,2,9.84
IGORA Color10 9-12 ,1,5.55
Vibrance 6-12,1,4.92
IGORA Royal 9-98,1,5.55
IGORA Royal 9-0,1,5.55
IGORA Royal 5-0,4,22.20
IGORA Royal 5-65,1,5.55
Vibrance 9-55,1,4.92
IGORA Royal 7-0,1,5.55
IGORA Color10 7-12,1,5.55
IGORA Royal 6-88,1,5.55
"Vibrance 9,5-19",1,4.92
Vibrance 3-65,1,4.92
IGORA Royal 5-88,1,5.55
Page 1 ,,
IGORA Royal 8-1,1,5.55
Vibrance 6-46,1,4.92
IGORA Royal 1-0,1,5.55
IGORA Royal 9-7,2,11.10
BM toning sand,1,6.42
IGORA ROYAL OPULESCENCE 6-78,1,5.76
Igora Royal 4-998,1,5.76
"Vibrance 9,5-4",2,9.84
IGORA Royal 4-68,1,5.55
IGORA Color10 5-0 ,1,5.55
IGORA Royal 6-65,1,5.55
Vibrance 7-4,1,4.92
IGORA Royal SW Silver,1,5.76
IGORA Color10 5-5 ,1,5.55
Vibrance 6-78,1,4.92
BM toning ice,5,32.10
Vibrance 7-0,1,4.92
IGORA Royal 4-0,3,16.65
Vibrance 8-0,1,4.92
"Vibrance 9,5-46",1,4.92
Vibrance 6-0,1,4.92
IGORA Royal 5-99,1,5.55
IGORA Royal 7-57,1,5.55
IGORA Color 10 3-0 ,1,5.55
IGORA Royal 4-65,2,11.10
IGORA Royal P 11-89,1,5.76
disheveled nudes 9-481,1,5.76
BM toning strawberry,4,25.68
BM Bleach & tone Cool Addative,1,6.42
"IGORA Royal P 9,5-89",1,5.76
IGORA Royal 6-0,1,5.55
IGORA Royal 7-00,1,5.55
IGORA Royal 5-68,2,11.10
IGORA Color10 6-4 ,1,5.55
IGORA Color10 5-12 ,1,5.55
Vibrance 4-99,1,4.92
Igora Royal 6-299,1,5.76
Vibrance 8-11,2,9.84
IGORA Royal 3-0,1,5.55
Page 2 ,,
IGORA Color10 8-00 ,1,5.55
IGORA Color10 9-00,1,5.55
Vibrance 9-1,1,4.92
BM toning lilac,3,19.26
IGORA Royal FL L-89,2,11.52
IGORA Royal 5-5,2,11.10
IGORA Royal Nude 7-46,1,5.55
Total,88,491.61
Total,97,562.33
Page 3 ,,
PROFESSIONAL,,
Schwarzkopf,,
Colour Tubes,#,Cost
"IGORA Royal Vibrance 9,5-1",1,4.92
IGORA Royal Vibrance 5-99,2,9.84
IGORA Colour10 8-11,1,5.55
IGORA Colour10 7-00,1,5.55
Total,5,25.86
Professional use only,#,Cost
BC Color Freeze Treatment 750ml,1,9.39
BC Repair Rescue Nourish Shampoo 1000ml,1,10.17
BC Repair Rescue Treatment 750ml,1,9.39
bc fibre clinix tribond treatment for fine hair,1,14.49
BC Color Freeze Rich Shampoo 1000ml,1,10.17
Total,5,53.61
Total,10,79.47
Page 4 ,,
RETAIL,,
Schwarzkopf,,
Hair Products (Finish),#,Cost
Osis Flexwax 85ml,2,10.96
Osis Elastic 500ml,1,6.24
Total,3,17.20
Hair Products (Prep),#,Cost
PH 4.5 Color Freeze: Chocolate Micellar Shampoo,1,5.73
Total,1,5.73
Total,4,22.93
Page 5 ,,
