Product Usage Report,,
Base Hair Academy,,
01/07/20 - 31/07/20 (Days: 31),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,1,15.80
BM Premi Lift 9+,10,141.80
Total,11,157.60
Colour Developers,#,Cost
Vibrance 1.9% lotion,7,38.85
BM Developer 2%,4,24.24
BM Developer 9%,1,6.06
IGORA Royal Oxigenta 9% 1 Litre,1,5.73
IGORA Royal Oxigenta 6% 1 Litre,5,28.65
BM Developer 6%,6,36.36
IGORA Royal Oxigenta 3% 1 Litre,3,17.19
Total,27,157.08
Colour Tubes,#,Cost
IGORA Royal 6-12,3,16.65
IGORA Color10 6-88 ,1,5.55
IGORA Royal 8-00,1,5.55
IGORA Royal Nude 8-46,2,11.10
IGORA Royal 6-1,3,16.65
IGORA Royal 8-65,1,5.55
Igora Royal 6-299,2,11.52
Vibrance 7-0,3,14.76
Vibrance 7-65,2,9.84
IGORA Royal 8-0,2,11.10
IGORA Royal SW Slate Grey,1,5.76
Vibrance 8-19,4,19.68
Vibrance 5-00,1,4.92
Vibrance 9-7,1,4.92
Vibrance 4-6,2,9.84
Vibrance 8-11,3,14.76
Page 1 ,,
Igora dusted rouge 8-849,1,5.59
IGORA Color10 9-12 ,1,5.55
IGORA Royal 5-6,1,5.55
IGORA Royal 5-00,1,5.55
IGORA Royal 7-1,4,22.20
IGORA Color10 7-0 ,1,5.55
IGORA Royal 5-0,1,5.55
IGORA Royal 6-00,1,5.55
"IGORA Royal 9,5-1",1,5.55
IGORA Royal SW Dove Grey,1,5.76
IGORA Color10 6-65 ,1,5.55
IGORA Royal 6-63,1,5.55
IGORA Royal 9-00,1,5.55
IGORA Royal P 6-89,1,5.76
"IGORA Royal 9,5-4",1,5.55
"Vibrance 9,5-19",3,14.76
IGORA Royal 7-65,1,5.55
IGORA ROYAL OPULESCENCE 8-19,1,5.76
IGORA Royal 6-0,4,22.20
IGORA Royal SW Silver,3,17.28
IGORA Color10 5-0 ,1,5.55
IGORA Royal 6-65,2,11.10
IGORA Royal 9-1,2,11.10
Vibrance 9-57,1,4.92
Vibrance Ashy Cedar 7-21,1,4.92
disheveled nudes 9-481,1,5.76
IGORA Royal Nude 6-46,3,16.65
Vibrance 9-1,8,39.36
IGORA Royal 6-88,1,5.55
IGORA Royal SW Grey Lilac,1,5.76
Vibrance 5-65,1,4.92
BM toning sand,2,12.84
IGORA Royal 7-77,3,16.65
IGORA Royal 5-99,1,5.55
"Vibrance 9,5-49",1,4.92
IGORA Royal 7-00,1,5.55
"Vibrance 9,5-46",2,9.84
Vibrance 6-46,2,9.84
Vibrance 9-4,2,9.84
Page 2 ,,
TBH 7-16 C,1,6.42
Vibrance 3-0,1,4.92
disheveled nudes 9-567,1,5.76
Vibrance 5-5,1,4.92
"IGORA Royal 9,5-49",2,11.10
IGORA Color10 8-00 ,1,5.55
Vibrance 6-63,1,4.92
disheveled nudes 8-176,1,5.76
Vibrance 6-12,1,4.92
Vibrance 9-55,2,9.84
"Vibrance 9,5-21",2,9.84
IGORA Royal 8-1,3,16.65
IGORA Color10 4-88,1,5.55
disheveled nudes 8-211,2,11.52
IGORA Royal 7-0,2,11.10
Vibrance 9-65,1,4.92
IGORA Royal 4-13,1,5.55
BM toning lilac,2,12.84
IGORA Royal 5-1,1,5.55
IGORA Royal 5-88,1,5.55
Vibrance 8-0,5,24.60
BM toning ice,5,32.10
IGORA Royal 9-7,1,5.55
IGORA Royal 6-6,1,5.55
BM Bleach & tone Cool Addative,1,6.42
Vibrance 6-0,3,14.76
Vibrance 9-0,2,9.84
IGORA Royal 9-4,1,5.55
IGORA Royal Nude 4-46,1,5.55
Vibrance 5-1,1,4.95
"Vibrance 9,5-1",5,24.60
Vibrance 7-55,1,4.92
IGORA Royal 8-11,3,16.65
Vibrance 8-46,2,9.84
IGORA Royal FL L-88,3,17.28
Vibrance 7-00,1,4.92
IGORA Color10 7-12,1,5.55
IGORA Royal 5-7,1,5.55
Vibrance 5-0,1,4.92
Page 3 ,,
Total,165,886.96
Total,203,"1,201.64"
Page 4 ,,
PROFESSIONAL,,
--,,
Profeesional use only,#,Cost
gloves small,1,0.00
gloves large,1,0.00
Total,2,0.00
Total,2,0.00
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Colour10 8-11,2,11.10
IGORA Colour10 7-00,1,5.55
Total,3,16.65
Professional use only,#,Cost
bc fibre clinix peptide repair booster,1,16.26
bc fibre clinix keratin smooth booster,1,16.26
bc fibre clinix hyaluronic moisture booster,1,16.26
Total,3,48.78
Total,6,65.43
Page 5 ,,
