Product Usage Report,,
Base Hair Academy,,
01/01/20 - 31/01/20 (Days: 31),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,2,28.36
Igora Vario Blond Super Plus ,1,15.80
Total,3,44.16
Colour Developers,#,Cost
IGORA Royal Oxigenta 3% 1 Litre,2,11.46
IGORA Royal Oxigenta 6% 1 Litre,2,11.46
BM Developer 6%,2,12.12
BM Developer 2%,1,6.06
Vibrance 1.9% lotion,2,11.10
Total,9,52.20
Colour Tubes,#,Cost
Vibrance 7-1,2,9.84
Vibrance 7-00,1,4.92
Vibrance 8-0,1,4.92
IGORA Color10 8-00 ,1,5.55
IGORA Royal 8-11,1,5.55
Vibrance 9-1,1,4.92
IGORA Royal 7-00,1,5.55
IGORA Royal 8-77,1,5.55
Vibrance 6-99,1,4.92
IGORA Royal SW Silver,1,5.76
IGORA Royal 6-00,1,5.55
IGORA Color10 7-12,1,5.55
IGORA Royal 7-0,2,11.10
IGORA Color10 6-88 ,1,5.55
"Vibrance 9,5-1",3,14.76
BM toning lilac,4,25.68
Vibrance 9-4,1,4.92
IGORA Color10 8-65,1,5.55
Page 1 ,,
BM toning caramel,1,6.42
IGORA Royal 8-0,1,5.55
Vibrance 8-19,1,4.92
Vibrance 7-77,2,9.84
IGORA Royal 3-0,1,5.55
IGORA Royal FL L-88,1,5.76
IGORA Royal 6-6,1,5.55
Igora dusted rouge 7-982,3,17.28
IGORA Royal 8-4,1,5.55
IGORA Royal Nude 6-46,1,5.55
IGORA Royal 1-0,1,5.55
IGORA Royal FL L-49,1,5.76
Vibrance 8-46,1,4.92
IGORA Royal 5-99,1,5.55
IGORA Royal 6-1,1,5.55
BM toning steel blue,1,6.42
Vibrance 7-0,1,4.92
IGORA Royal 6-4,1,5.55
IGORA Color10 7-0 ,1,5.55
IGORA Royal 6-0,2,11.10
BM toning ice,2,12.84
IGORA Royal 12-2,1,5.55
BM toning apricot,1,6.42
Vibrance 4-99,1,4.92
Vibrance Ashy Cedar 5-21,1,4.92
IGORA Royal 5-0,1,5.55
BM toning strawberry,3,19.26
BM toning sand,1,6.42
IGORA Royal Opulescence 5-67,1,5.76
IGORA Royal 6-68,1,5.55
Vibrance 9-0,1,4.92
IGORA Royal 9-1,1,5.55
IGORA Royal 6-12,2,11.10
IGORA Royal 6-77,1,5.55
Vibrance 6-6,1,4.92
Vibrance 6-12,1,4.92
"Vibrance 9,5-19",1,4.92
Vibrance 9-57,1,4.92
Page 2 ,,
Total,71,392.97
Total,83,489.33
Page 3 ,,
PROFESSIONAL,,
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Colour10  6-0,1,5.55
Total,1,5.55
Professional use only,#,Cost
BW pH 4.5 Color Freeze Silver Shampoo,1,17.45
Peptide Repair Rescue treatment,1,18.30
Peptide Repair Rescue Conditioner,1,18.30
Fibreplex 1 Booster 500ml,1,64.41
Peptide Repair Rescue Shampoo,1,17.45
Total,5,135.91
Total,6,141.46
Page 4 ,,
RETAIL,,
Schwarzkopf,,
Hair Products (Prep),#,Cost
pH 4.5 Colour Freeze Gold Shimmer Micellar Shampoo,1,5.73
Total,1,5.73
Hair Products (Wet to Dry),#,Cost
Osis Flatliner 200ml,1,6.60
OSiS Session Label Volumizing Mousse 200ml,1,6.21
Osis Blow & Go 200ml,1,6.22
Total,3,19.03
Total,4,24.76
Page 5 ,,
