Product Usage Report,,
Base Hair Academy,,
01/11/20 - 30/11/20 (Days: 30),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,2,31.60
BM Premi Lift 9+,2,28.36
Total,4,59.96
Colour Developers,#,Cost
BM Developer 2%,1,6.06
IGORA Royal Oxigenta 6% 1 Litre,2,11.46
IGORA Royal Oxigenta 3% 1 Litre,1,5.73
Vibrance 1.9% lotion,3,16.65
Total,7,39.90
Colour Tubes,#,Cost
IGORA Royal 6-0,1,5.55
IGORA Royal 9-0,1,5.55
IGORA Color10 7-0 ,1,5.55
IGORA Royal FL L-88,1,5.76
"Vibrance 9,5-1",2,9.84
IGORA Royal 6-4,1,5.55
IGORA Royal Nude 6-46,2,11.10
"Vibrance 9,5-19",1,4.92
"Vibrance 9,5-21",4,19.68
Vibrance Ashy Cedar 7-21,1,4.92
IGORA Royal 6-63,1,5.55
IGORA Royal 8-77,1,5.55
Vibrance 6-12,1,4.92
IGORA Royal 8-1,1,5.55
IGORA Royal SW Dove Grey,2,11.52
TBH 5-16 C,1,6.42
Vibrance 8-11,2,9.84
Vibrance 8-19,2,9.84
IGORA Royal 9-00,1,5.55
Page 1 ,,
IGORA Royal Opulescence 9-57,1,5.76
Vibrance 8-0,1,4.92
Vibrance 3-0,1,4.92
IGORA Royal 5-88,1,5.55
IGORA Royal 3-0,2,11.10
IGORA Royal SW Silver,1,5.76
IGORA ROYAL OPULESCENCE 7-48,1,5.76
IGORA Royal 7-57,1,5.55
BM toning strawberry,3,19.26
Vibrance 7-88,1,4.92
IGORA Royal SW Grey Lilac,1,5.76
TBH 8-19 C,1,6.42
Vibrance 8-46,1,4.92
IGORA Royal 6-88,3,16.65
Vibrance 9-4,2,9.84
Vibrance 9-0,1,4.92
Total,49,265.17
Total,60,365.03
Page 2 ,,
RETAIL,,
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Royal FL L-44,1,5.76
Total,1,5.76
Total,1,5.76
Page 3 ,,
