Product Usage Report,,
Jakata Salon,,
01/08/19 - 31/08/19 (Days: 31),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,11,173.80
BM Premi Lift 9+,12,170.16
Total,23,343.96
Colour Developers,#,Cost
BM Developer 6%,7,42.42
IGORA Royal Oxigenta 9% 1 Litre,2,11.46
IGORA Royal Oxigenta 6% 1 Litre,9,51.57
IGORA Royal Oxigenta 3% 1 Litre,8,45.84
BM Developer 2%,195476412,"11,845,870,603.5"
Vibrance Lotion 4%,1,5.55
Vibrance 1.9% lotion,12,66.60
BM Developer 9%,1,6.06
Total,19547641,"11,845,870,833.0"
Colour Tubes,#,Cost
"Vibrance 9,5-5",1,4.92
IGORA Color10 5-12 ,1,5.55
IGORA Royal 6-1,3,16.65
IGORA Color10 6-00 ,1,5.55
IGORA Color10 9-12 ,3,16.65
IGORA Royal SW Dove Grey,1,5.76
IGORA Royal 7-77,3,16.65
IGORA Color10 6-6,2,11.10
disheveled nudes 8-211,2,11.52
IGORA Royal 6-77,2,11.10
Vibrance 3-0,1,4.92
Vibrance 7-1,2,9.84
IGORA Royal 9-7,1,5.55
Vibrance 6-6,1,4.92
Vibrance 7-65,2,9.84
Page 1 ,,
IGORA Royal 10-14,1,5.55
"IGORA Royal 9,5-4",1,5.55
IGORA Royal FL L-88,2,11.52
IGORA Royal 5-7,2,11.10
Vibrance 7-48,2,9.84
IGORA Royal 8-65,2,11.10
"Vibrance 9,5-49",3,14.76
Vibrance 6-0,2,9.84
Vibrance 9-57,1,4.92
IGORA Royal 7-4,1,5.55
BM toning sand,2,12.84
"IGORA Royal 9,5-1",8,44.40
IGORA Royal 8-00,2,11.10
IGORA Royal 12-11,1,5.55
IGORA Royal SW Slate Grey,1,5.76
TBH 10-19 C,1,0.00
IGORA Royal 5-65,2,11.10
IGORA Royal 9-1,5,27.75
IGORA Royal 1-1,156932505,"8,709,754,055.25"
TBH 6-19 C ,2,12.84
Vibrance 8-46,6,29.52
IGORA Royal 7-57,2,11.10
IGORA Royal 6-00,1,5.55
"Vibrance 9,5-46",1,4.92
BM toning caramel,1,6.42
IGORA Color10 5-0 ,4,22.20
IGORA Royal 5-68,2,11.10
Vibrance 7-00,1,4.92
Vibrance 8-11,5,24.60
IGORA Royal 6-99,2,11.10
TBH 7-06N,1,6.42
BM Bleach & tone Cool Addative,1,6.42
Vibrance 1-0,2,9.84
IGORA Royal SW Grey Lilac,6,34.56
Vibrance 6-12,3,14.76
IGORA Royal 0-77,1,5.55
IGORA Royal 6-6,1,5.55
IGORA Royal E-0,1,5.55
"Vibrance 9,5-4",3,14.76
Page 2 ,,
Vibrance 5-1,1,4.95
Vibrance 6-46,1,4.92
IGORA Royal 6-0,4,22.20
"Vibrance 9,5-19",8,39.36
TBH 9-49 C,1,6.42
TBH 7-47 W,1,6.42
Vibrance 9-55,2,9.84
IGORA Royal 8-11,4,22.20
IGORA Royal 7-1,2,11.10
Vibrance 5-65,1,4.92
IGORA Royal 5-99,2,11.10
IGORA Royal 6-4,4,22.20
IGORA Color10 7-12,1,5.55
IGORA Royal 6-65,4,22.20
IGORA Royal 5-1,2,11.10
IGORA Royal 7-65,3,16.65
IGORA Color10 8-65,3,16.65
IGORA Royal 7-00,1,5.55
IGORA Royal 6-68,1,5.55
BM toning steel blue,2,12.84
"Vibrance 9,5-1",15,73.80
IGORA Royal 8-0,3,16.65
IGORA Royal 6-5,1,5.55
BM toning ice,18,115.56
Vibrance 8-0,3,14.76
"Vibrance 9,5-98",2,9.84
IGORA Royal 5-4,1,5.55
IGORA Royal SW Silver,1,5.76
IGORA Color10 6-99 ,1,5.55
"Vibrance 9,5-21",7,34.44
Vibrance 7-4,2,9.84
"IGORA Royal 9,5-22",1,5.55
IGORA Royal 6-12,4,22.20
IGORA Color10 7-7,1,5.55
IGORA Color10 7-0 ,1,5.55
IGORA Expert Mouse 8-77,1,5.13
BM toning apricot,2,12.84
IGORA Royal FL L-77,2,11.52
IGORA Color10 8-00 ,1,5.55
Page 3 ,,
IGORA Color10 6-65 ,2,11.10
Vibrance 9-7,5,24.60
Vibrance 9-4,4,19.68
IGORA Color10 6-4 ,1,5.55
vibrance 7-57,1,4.92
vibrance 0-22,1,4.92
IGORA Royal 5-0,1,5.55
IGORA Color 10 4-00,2,11.10
TBH 7-49 C,1,6.42
IGORA Color10 6-88 ,1,5.55
TBH 8-19 C,1,6.42
Vibrance 0-77,1,4.92
Vibrance 8-19,9,44.28
IGORA Royal P 6-89,2,11.52
IGORA Royal 4-0,3,16.65
Vibrance 9-1,11,54.12
IGORA Royal 7-0,4,22.20
Vibrance 0-11,1,4.92
IGORA Royal Opulescence 5-67,1,5.76
IGORA Royal D-0,4,22.20
BM toning strawberry,6,38.52
IGORA Royal 8-1,5,27.75
Igora dusted rouge 7-982,1,5.76
"IGORA Royal P 9,5-29",2,11.52
Igora Royal 6-299,1,5.76
BM toning lilac,8,51.36
IGORA Royal 1-0,4,22.20
Vibrance 7-77,3,14.76
IGORA Royal 4-68,1,5.55
Vibrance 5-67,2,9.84
IGORA Royal 8-77,6,33.30
Total,15693253,"8,709,755,803.29"
Total,3524089,"20,555,626,98"
Page 4 ,,
PROFESSIONAL,,
Joico,,
Colour Tubes,#,Cost
Joico Pink,1,5.67
Joico Peacock Green,4,22.68
Joico Yellow,1,5.67
Total,6,34.02
Total,6,34.02
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Colour10 8-11,3,16.65
IGORA Colour10 7-00,2,11.10
IGORA Royal Vibrance 5-1,1,4.92
