Product Usage Report,,
Jakata Salon,,
01/06/19 - 30/06/19 (Days: 30),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,11,155.98
Igora Vario Blond Plus ,1,12.82
Igora Vario Blond Super Plus ,9,142.20
Total,21,311.00
Colour Developers,#,Cost
BM Developer 2%,10,60.60
IGORA Royal Oxigenta 9% 1 Litre,2,11.46
Vibrance Lotion 4%,2,11.10
IGORA Royal Oxigenta 12% 1 Litre,1,5.73
IGORA Royal Oxigenta 6% 1 Litre,9,51.57
Vibrance 1.9% lotion,9,49.95
IGORA Royal Oxigenta 3% 1 Litre,9,51.57
BM Developer 6%,7,42.42
Total,49,284.40
Colour Tubes,#,Cost
IGORA Royal 9-7,2,11.10
IGORA Royal 6-6,3,16.65
"IGORA Royal P 9,5-29",3,17.28
IGORA Color10 6-88 ,1,5.55
"Vibrance 9,5-5",2,9.84
"Vibrance 9,5-21",5,24.60
IGORA Royal SW Dove Grey,3,17.28
IGORA Royal 6-65,2,11.10
Vibrance 8-46,1,4.92
IGORA Royal ABS 9-10,1,5.76
IGORA Royal 0-33,1,5.55
IGORA Royal FL L-89,2,11.52
Vibrance 5-1,2,9.90
TBH 7-47 W,1,6.42
Page 1 ,,
IGORA Royal 5-0,3,16.65
BM Bleach & tone pastel additive,1,6.42
"Vibrance 9,5-19",9,44.28
BM toning ice,15,96.30
IGORA Color10 6-00 ,3,16.65
IGORA Royal 6-88,2,11.10
"IGORA Royal 9,5-4",1,5.55
IGORA Color10 9-12 ,2,11.10
IGORA Color10 9-0 ,2,11.10
TBH 4-64 W,1,6.42
IGORA Color10 8-65,1,5.55
IGORA Royal 7-55,3,16.65
IGORA Royal FL L-88,1,5.76
IGORA Royal 0-11,1,5.55
Vibrance 5-0,1,4.92
"Vibrance 9,5-49",2,9.84
IGORA Royal 7-0,6,33.30
Vibrance 3-0,1,4.92
"IGORA Royal P 9,5-89",2,11.52
IGORA Royal 5-99,3,16.65
Vibrance 8-0,3,14.76
IGORA Royal 7-00,2,11.10
IGORA Royal 8-65,3,16.65
Vibrance 6-99,1,4.92
IGORA Royal 9-65,1,5.55
"IGORA Royal 9,5-49",2,11.10
Igora Royal 3-222,1,5.76
IGORA Royal 5-6,1,5.55
BM toning lilac,4,25.68
Vibrance 6-6,1,4.92
"IGORA Royal 9,5-1",9,49.95
Vibrance 9-55,2,9.84
TBH 10-51 C,1,0.00
"Vibrance 9,5-46",3,14.76
IGORA Royal SW Grey Lilac,5,28.80
IGORA Color10 6-65 ,1,5.55
IGORA Royal E-0,1,5.55
"IGORA Royal 9,5-22",1,5.55
IGORA Royal 3-0,2,11.10
Page 2 ,,
IGORA Royal SW Slate Grey,4,23.04
IGORA Royal 5-7,1,5.55
IGORA Color10 7-0 ,2,11.10
TBH 7-16 C,2,12.84
IGORA Royal 6-68,2,11.10
IGORA Royal 8-77,6,33.30
Vibrance 7-65,2,9.84
BM toning apricot,2,12.84
IGORA Royal 6-1,2,11.10
IGORA Royal 8-4,4,22.20
"Vibrance 9,5-98",1,4.92
BM toning caramel,1,6.42
IGORA Royal 5-00,2,11.10
IGORA Royal 9-4,4,22.20
BM Bleach & tone Cool Addative,1,6.42
Vibrance 6-12,2,9.84
TBH 10-19 C,2,0.00
IGORA Royal 5-5,1,5.55
IGORA Royal 5-4,1,5.55
Vibrance 6-46,2,9.84
IGORA Color 10 3-0 ,3,16.65
IGORA Royal 6-12,2,11.10
IGORA Color10 7-7,1,5.55
TBH 6-06N,1,6.42
IGORA Color10 7-12,5,27.75
IGORA Color10 6-4 ,2,11.10
IGORA Royal P 6-89,3,17.28
Vibrance 7-4,2,9.84
