Product Usage Report,,
Jakata Salon,,
01/04/19 - 30/04/19 (Days: 30),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,6,94.80
BM Premi Lift 9+,15,212.70
Total,21,307.50
Colour Developers,#,Cost
Vibrance Lotion 4%,1,5.55
BM Developer 6%,9,54.54
BM Developer 2%,7,42.42
IGORA Royal Oxigenta 3% 1 Litre,9,51.57
IGORA Royal Oxigenta 6% 1 Litre,9,51.57
Vibrance 1.9% lotion,7,38.85
Total,42,244.50
Colour Tubes,#,Cost
IGORA Color10 7-12,3,16.65
Vibrance 8-11,3,14.76
BM toning caramel,2,12.84
Vibrance 7-65,2,9.84
"Vibrance 9,5-1",11,54.12
IGORA Royal 6-77,2,11.10
"Vibrance 9,5-98",1,4.92
IGORA Royal 5-6,1,5.55
IGORA Royal FL L-89,1,5.76
IGORA Royal 6-68,3,16.65
Vibrance 9-4,4,19.68
IGORA Royal 4-88,1,5.55
IGORA Royal 8-4,1,5.55
IGORA Color10 7-0 ,7,38.85
IGORA Royal SW Grey Lilac,4,23.04
Vibrance 7-77,3,14.76
IGORA Royal 5-88,1,5.55
Page 1 ,,
IGORA Royal 6-5,1,5.55
Igora Royal 6-299,1,5.76
IGORA Royal 1-0,1,5.55
IGORA Royal 9-55,1,5.55
vibrance 0-22,2,9.84
IGORA Color10 8-65,1,5.55
BM toning lilac,5,32.10
IGORA Royal 9-00,2,11.10
IGORA Royal 7-4,4,22.20
IGORA Color10 6-65 ,3,16.65
Vibrance 9-1,9,44.28
BM toning steel blue,1,6.42
IGORA Royal 5-5,3,16.65
IGORA Royal 7-55,1,5.55
IGORA Color10 7-7,1,5.55
IGORA Royal 6-65,1,5.55
IGORA Royal 0-55,1,5.55
IGORA Royal 4-63,1,5.55
IGORA Royal 9-65,1,5.55
Igora dusted rouge 7-764,2,11.52
Vibrance 3-0,2,9.84
IGORA Color10 5-12 ,2,11.10
IGORA Royal 9-7,2,11.10
IGORA Royal 7-0,7,38.85
IGORA Royal Opulescence 9-57,2,11.52
Vibrance 8-46,1,4.92
IGORA Royal 4-0,6,33.30
BM Bleach & tone Cool Addative,1,6.42
Vibrance 7-00,2,9.84
IGORA Color10 9-0 ,1,5.55
Vibrance 0-00,1,4.92
"IGORA Royal 9,5-49",3,16.65
IGORA Royal 5-1,3,16.65
IGORA Royal 8-0,4,22.20
Vibrance 6-12,2,9.84
IGORA Royal 6-0,13,72.15
BM toning strawberry,7,44.94
IGORA Color10 6-00 ,4,22.20
"Vibrance 9,5-4",3,14.76
Page 2 ,,
IGORA Royal 7-65,1,5.55
IGORA Royal 6-12,6,33.30
"IGORA Royal P 9,5-29",1,5.76
IGORA Royal FL L-77,1,5.76
IGORA Royal 5-0,6,33.30
BM toning apricot,2,12.84
