Product Usage Report,,
Paul Kemp Hairdressing,,
11/04/21 - 01/05/21 (Days: 21),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premi Lift 9+,29,411.22
Igora Vario Blond Super Plus ,3,47.40
Total,32,458.62
Colour Developers,#,Cost
Vibrance 1.9% lotion,13,72.15
BM Developer 9%,1,6.06
IGORA Royal Oxigenta 6% 1 Litre,7,40.11
BM Developer 6%,20,121.20
BM Developer 2%,7,42.42
IGORA Royal Oxigenta 9% 1 Litre,2,11.46
IGORA Royal Oxigenta 3% 1 Litre,3,17.19
Total,53,310.59
Colour Tubes,#,Cost
Vibrance 7-65,5,24.60
Igora Royal 4-998,2,11.52
"Vibrance 9,5-21",3,14.76
IGORA Royal FL L-89,1,5.76
Vibrance 6-78,1,4.92
Vibrance 6-0,4,19.68
IGORA Royal 8-00,9,49.95
IGORA Royal 12-2,1,5.55
IGORA Royal 3-0,2,11.10
IGORA Royal Nude 8-46,4,22.20
BM Toning Ice-Irise,1,6.42
Vibrance 5-67,1,4.92
"Vibrance 9,5-5",1,4.92
Royal Ashy Cedar 7-21,5,27.75
IGORA Royal 8-77,2,11.10
IGORA Royal 4-99,1,5.55
Page 1 ,,
Vibrance 5-1,1,4.95
IGORA Royal 7-65,2,11.10
IGORA ROYAL OPULESCENCE 6-78,2,11.52
Vibrance 8-19,3,14.76
IGORA Color10 7-0 ,3,16.65
Vibrance Ashy Cedar 7-21,1,4.92
IGORA Color10 5-12 ,1,5.55
IGORA Royal 8-65,1,5.55
IGORA Royal Nude 6-46,1,5.55
IGORA Royal 9-55,1,5.55
IGORA Royal 5-1,4,22.20
"Vibrance 9,5-49",13,63.96
Vibrance 0-00,1,4.92
Vibrance 6-46,2,9.84
IGORA Royal SW Silver,1,5.76
IGORA Royal 9-65,1,5.55
IGORA Royal 12-0,1,5.55
IGORA Royal 5-0,3,16.65
"Vibrance 9,5-1",15,73.80
Vibrance 5-5,1,4.92
TBH 9-16 C,1,6.42
IGORA Royal 6-1,2,11.10
Vibrance 9-0,1,4.92
Vibrance 7-77,1,4.92
Vibrance 1-0,1,4.92
IGORA Royal ABS 8-140,1,5.76
IGORA Royal 7-4,2,11.10
BM toning ice,14,89.88
Vibrance 7-4,2,9.84
IGORA Royal ABS 9-50,2,11.52
Vibrance 9-65,5,24.60
Vibrance 9-1,5,24.60
IGORA Royal 6-12,3,16.65
"IGORA Royal 9,5-4",4,22.20
Vibrance 5-4,2,9.84
IGORA Royal 7-57,1,5.55
IGORA Royal 9-98,1,5.55
Vibrance 0-55,1,5.10
BM Bleach & tone Cool Addative,2,12.84
Page 2 ,,
"IGORA Royal 9,5-1",13,72.15
IGORA Royal 8-0,3,16.65
IGORA Royal 5-88,1,5.55
IGORA Royal 7-55,1,5.55
Vibrance 7-1,4,19.68
IGORA Royal 4-0,3,16.65
IGORA Royal 6-0,6,33.30
IGORA Royal 6-6,2,11.10
BM toning lilac,1,6.42
IGORA Royal 10-4,1,5.55
Vibrance 8-46,9,44.28
vibrance 0-22,1,4.92
"Vibrance 9,5-46",8,39.36
IGORA Royal FL L-88,1,5.76
IGORA Royal 7-77,3,16.65
IGORA Color10 5-0 ,3,16.65
IGORA Royal 8-4,1,5.55
"IGORA Royal 9,5-22",1,5.55
BM Bleach & tone pastel additive,1,6.42
IGORA Royal Nude 7-46,3,16.65
TBH 10-19 C,2,0.00
Vibrance 9-55,3,14.76
IGORA Royal 5-00,5,27.75
IGORA Royal SW Slate Grey,1,5.76
IGORA Royal 9-0,1,5.55
IGORA Royal 9-1,2,11.10
IGORA Royal ABS 7-60,2,11.52
Vibrance 7-0,6,29.52
Vibrance 5-0,2,9.84
BM toning steel blue,1,6.42
IGORA Royal 7-00,7,38.85
IGORA Royal 8-11,7,38.85
IGORA Royal 1-0,1,5.55
IGORA Royal 6-88,1,5.55
Vibrance 8-0,6,29.52
