Product Usage Report,,
Paul Kemp Hairdressing,,
01/01/22 - 30/03/22 (Days: 89),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
BM Premium Developer 2% 1L,2,13.74
IR Oil Developer 12% 1L,1,6.30
IR Oil Developer 3% 1L,1,6.30
Igora Vibrance Developer 1.9%,4,23.88
IR Oil Developer 6% 1L,2,12.60
Total,15,96.60
Colour Tubes,#,Cost
Igora Vibrance Medium Brown Natural 4-0,1,5.31
"Igora Vibrance Beige Toner 9,5-4",5,26.55
"IR 9,5-22 60ml",1,6.03
IR 8-46 60ml,2,12.06
Page 5,,
"Igora Vibrance Cendré Violet Toner  9,5-19",4,21.24
IR 7-42 60ml,1,6.03
IR 6-46 60ml,2,12.06
IR 7-77 60ml,1,6.03
Igora Vibrance Extra Light Blonde Cendre 9-1,4,21.24
IR 6-16 60ml,1,6.03
BM Toning Ice 60ml,2,14.64
IG Color 10 - 8-11 60ml,1,6.24
Igora Vibrance Dark Blonde Chocolate 6-6,1,5.31
BM Toning Sand 60ml,1,7.32
IR 7-21 60ml,1,6.03
Igora Vibrance Light Brown Natural 5-0,1,5.31
Igora Vibrance Medium Blonde Natural Extra 7-00,3,15.93
IR 7-0 60ml,3,18.09
TBH 6-19 60ml,1,7.32
BM Deep Toning Nougat 60ml,1,7.32
Igora Vibrance Light Brown Beige 5-4,1,5.31
IR 8-4 60ml,1,6.03
Igora Vibrance Medium Blonde Natural 7-0,1,5.31
IR 6-88 60ml,1,6.03
Igora Vibrance Medium Blonde Gold Extra 7-55,1,5.31
IR 8-77 60ml,2,12.06
TBH 10-19 60ml,1,7.32
BM Bleach & tone cool,1,7.32
IR 8-0 60ml,1,6.03
IR 7-76 60ml,2,12.06
"Igora Vibrance Gold Toner 9,5-5",2,10.62
IR 12-0 60mL,1,6.24
Igora Vibrance Light Blonde Cendre Extra 8-11,2,10.62
IR 6-6 60ml,2,12.06
Igora Vibrance 7-42 Muted Desert,2,10.62
IR 6-0 60ml,1,6.03
"Igora Vibrance Beige Chocolate Toner 9,5-46",3,15.93
IR 7-55 60ml,1,6.03
IR 7-4 60ml,1,6.03
Igora Vibrance Medium Blonde Cendre 7-1,2,10.62
IR L 44 60ml,1,6.24
Igora Vibrance Medium Blonde Chocolate Gold 7-65,1,5.31
Igora Vibrance Medium Blonde Beige 7-4,1,5.31
Page 6,,
Igora Vibrance Extra Light Blonde Beige 9-4,3,15.93
IR 9-0 60ml,1,6.03
IG Color 10 - 7-0 60ml,1,6.24
IR 9-42 60ml,1,6.03
Igora Vibrance 9-42 Muted Desert,2,10.62
BM Deep Toning Milk Chocolate 60ml,1,7.32
Igora Vibrance Extra Light Blonde Chocolate Gold 9-65,1,5.31
IR 0-77 60ml,1,6.03
Igora Vibrance Light Blonde Cendre Violet 8-19,2,10.62
Igora Vibrance Light Blonde Natural 8-0,3,15.93
Igora Vibrance Medium Blonde Red Extra 7-88,1,5.31
"IR 9,5-4 60ml",1,6.03
Igora Vibrance Dark Blonde Natural 6-0,1,5.31
"Igora Vibrance Beige Violet Toner 9,5-49",4,21.24
IR 9-7 60ml,1,6.03
Igora Vibrance Dark Blonde Cendre Ash 6-12,1,5.31
IR 6-00 60ml,1,6.03
Igora Vibrance Extra light Blonde Copper 9-7,2,10.62
IR 10-1 60ml,1,6.24
Igora Vibrance Medium Blonde Copper Extra 7-77,1,5.31
IG Color 10 - 7-00 60ml,1,6.24
IR 5-00 60ml,1,6.03
Igora Vibrance Extra Light Blonde Natural 9-0,1,5.31
IR 6-12 60ml,1,6.03
IR 7-00 60ml,2,12.06
"Igora Vibrance Cendre Toner 9,5-1",6,31.86
IR 4-63 60ml,2,12.06
Igora Vibrance Extra Light Blonde Gold Extra 9-55,1,5.31
Total,114,652.92
Total,136,869.88
Page 7,,
PROFESSIONAL,,
Crazy Colour,,
Profeesional use only,#,Cost
crazy colour burgundy,2,7.00
crazy colour vermillion red,1,3.50
Total,3,10.50
Professional use only,#,Cost
crazy colour lavender,1,3.50
crazy colour neutral ,1,3.50
crazy colour hot purple,2,7.00
crazy colour lilac,4,14.00
crazy colour blue jade,1,3.50
crazy colour bubblegum blue,1,3.50
crazy colour cyclamen,2,7.00
crazy colour rebel uv,2,7.00
crazy colour graphite,1,3.50
Total,15,52.50
Total,18,63.00
Kevin.Murphy,,
Professional use only,#,Cost
HYDRATE.ME.MASQUE 1Ltr,1,35.75
YOUNG.AGAIN.WASH 1Ltr,1,33.01
MAXI.WASH 1Ltr,1,22.94
BLONDE.ANGEL.WASH 1Ltr,1,24.43
REPAIR.ME.WASH 1Ltr,1,33.01
RE.STORE cleansing treatment 1Ltr,1,33.01
YOUNG.AGAIN.MASQUE 1Ltr,1,33.01
REPAIR.ME.RINSE 1Ltr,1,33.01
HYDRATE.ME.WASH 1Ltr,1,24.43
SMOOTH.AGAIN.WASH 1Ltr,1,24.43
HYDRATE.ME.RINSE 1Ltr,1,24.43
Total,11,321.46
Total,11,321.46
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Colour10 7-00,3,16.65
Page 8,,
Total,3,16.65
Profeesional use only,#,Cost
Silver foil (box of 3) 90m Plain,4,43.20
Total,4,43.20
Professional use only,#,Cost
bc fiber clinix trbond shampoo all hair types,1,0.00
Fibre Clinix Vibrancy Booster,1,16.26
Fibreplex 2 Sealer 500ml,1,64.41
BW pH 4.5 Color Freeze Silver Shampoo,3,52.35
fibre clinix hyrdate shampoo SALON ONLY,1,0.00
Fibre Clinix Tame Booster,1,16.26
Total,8,149.28
"Retail (Shampoo, Conditioner, Treatment)",#,Cost
Hyaluronic Moisture Kick Conditioner,1,18.30
Keratin Smooth Perfect Shampoo,1,17.45
pH 4.5 Color Freeze Sulphate Free Shampoo,1,17.45
Total,3,53.20
Total,18,262.33
Schwarzkopf Igora,,
Colour Tubes,#,Cost
X c10 7-1,1,0.00
Total,1,0.00
Total,1,0.00
Schwarzkopf.,,
Profeesional use only,#,Cost
gloves medium,2,0.00
gloves large,1,0.00
gloves small,6,0.00
Total,9,0.00
Total,9,0.00
Page 9,,
RETAIL,,
BlondMe,,
"Retail (Shampoo, Conditioner, Treatment)",#,Cost
blonde me all blondes light shampoo,1,0.00
Total,1,0.00
Total,1,0.00
Igora,,
Colour Tubes,#,Cost
X IV 7-42,5,0.00
Total,5,0.00
Total,5,0.00
Kevin.Murphy,,
Retail (Backwash),#,Cost
FRESH.HAIR,2,26.00
Bedroom.hair,1,13.00
Total,3,39.00
"Retail (Shampoo, Conditioner, Treatment)",#,Cost
LEAVE-IN.REPAIR,1,17.88
DOO.OVER,1,13.00
YOUNG.AGAIN OIL,1,17.88
Total,3,48.76
Retail (Styling Products),#,Cost
SHIMMER.ME BLONDE,1,13.54
kevin.murphy blowdry ever.thicken,2,0.00
BODY.MASS,1,17.88
kevin.murphy blowdry ever.smooth,1,0.00
UN.TANGLED,1,12.46
SHIMMER.SHINE,1,13.54
ANTI.GRAVITY.SPRAY,1,12.46
kevin murphy blowdry ever.lift,1,0.00
kevin murphy blowdry ever.bounce,1,0.00
Total,10,69.88
Total,16,157.64
Olaplex,,
Page 10,,
Professional use only,#,Cost
olaplex no.1 bond multiplier,3,0.00
Total,3,0.00
Retail products,#,Cost
Olaplex Bond Smoother No.6,1,17.90
Total,1,17.90
Total,4,17.90
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA Royal FL L-44,2,11.52
IGORA ROYAL 6-16,4,0.00
Total,6,11.52
Professional use only,#,Cost
fibre clinix fortify shampoo SALON ONLY,1,0.00
Total,1,0.00
Retail (Backwash),#,Cost
OSIS+ Soft Dust ,0,0.00
Osis Whipped Wax 85ml,1,6.60
Osis Elastic 300ml,1,5.25
Osis Refresh Dust 300ml,1,6.60
Osis Dust It 10gr,1,6.75
Texture Craft ,1,0.00
Fibre Clinix Tribond Treatment (FINE HAIR),1,0.00
