Product Usage Report,,
Jakata Salon,,
01/01/22 - 30/03/22 (Days: 89),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
X Blonde-Me Biscuit,1,0.00
Total,2,5.72
Total,2,5.72
Schwarzkopf.,,
Colour Bleach,#,Cost
BM Premi Lift 9+,15,261.90
IG VB Light Super Plus 450g,1,15.60
Total,16,277.50
Colour Developers,#,Cost
IR Oil Developer 9% 1L,1,6.30
BM Premium Developer 2% 1L,5,34.35
Igora Vibrance Developer 1.9%,8,47.76
IR Oil Developer 3% 1L,3,18.90
IR Oil Developer 6% 1L,4,25.20
Page 5,,
BM Premium Developer 6% 1L,7,48.09
Total,28,180.60
Colour Tubes,#,Cost
Igora Vibrance Light Blonde Natural 8-0,3,15.93
IR 12-1 60mL,1,6.24
IR 7-77 60ml,1,6.03
"Igora Vibrance Beige Toner 9,5-4",2,10.62
Igora Vibrance Black Natural 1-0,2,10.62
IG Color 10 - 9-0 60ml,1,6.24
Igora Vibrance Extra Light Blonde Beige 9-4,5,26.55
Igora Vibrance Light Blonde Beige Chocolate 8-46,1,5.31
IR 4-68 60ml,1,6.03
Igora Vibrance Extra light Blonde Copper 9-7,1,5.31
BM Bleach & tone cool,2,14.64
IR 9-00 60ml,1,6.03
Igora Vibrance Brown Chocolate 4-6,1,5.31
IR 8-4 60ml,2,12.06
Igora Vibrance Extra Light Blonde Gold Copper 9-57,1,5.31
IR L 00 60ml,2,12.48
IR 12-11 60mL,1,6.24
Igora Vibrance Light Blonde Cendre Violet 8-19,7,37.17
Igora Vibrance Medium Blonde Chocolate Gold 7-65,4,21.24
IG Color 10 - 8-0 60ml,1,6.24
Igora Vibrance Copper Concentrate 0-77,1,5.31
IR 5-0 60ml,9,54.27
"IR 9,5-1 60ml",1,6.03
Igora Vibrance Ash Concentrate 0-22,1,5.31
IG Color 10 - 6-88 60ml,1,6.24
IG Color 10 - 7-0 60ml,2,12.48
IR 9-4 60ml,1,6.03
IR 9-1 60ml,1,6.03
Igora Vibrance Dark Blonde Beige Chocolate 6-46,2,10.62
Igora Vibrance Extra Light Blonde Gold Extra 9-55,2,10.62
IG Color 10 - 6-4 60ml,4,24.96
Igora Vibrance Dark Blonde Cendre Ash 6-12,2,10.62
IG Color 10 - 6-0 60ml,2,12.48
IR 8-0 60ml,2,12.06
BM Toning Ice 60ml,9,65.88
Page 6,,
IR 6-1 60ml,2,12.06
"Igora Vibrance Violet Red Toner 9,5-98",1,5.31
IR 6-99 60ml,1,6.03
Igora Vibrance Cendre Concentrate 0-11,1,5.31
BM Toning Sand 60ml,4,29.28
IR 0-77 60ml,1,6.03
IR L 44 60ml,1,6.24
IR 7-65 60ml,2,12.06
IR 1-1 60ml,1,6.03
Igora Vibrance Medium Blonde Beige 7-4,3,15.93
IG Color 10 - 5-1 60ml,2,12.48
IR 10-14 60mL,1,6.24
TBH 9-16 60ml,1,7.32
IR 4-99 60ml,1,6.03
IR 9-98 60ml,1,6.03
IR 6-6 60ml,3,18.09
IR 5-7 60ml,1,6.03
IR 7-0 60ml,5,30.15
"Igora Vibrance Gold Toner 9,5-5",2,10.62
IG Color 10 - 6-65 60ml,1,6.24
IR 4-46 60ml,1,6.03
IR 7-21 60ml,2,12.06
Igora Vibrance Light Brown Chocolate Copper 5-67,1,5.31
IR 5-16 60ml,1,6.03
IG Color 10 - 7-5 60ml,1,6.24
BM Toning Ice Irise 60ml,1,7.32
IRA SW Grey Lilac 60ml,1,6.24
Igora Vibrance Light Blonde Cendre Extra 8-11,3,15.93
IG Color 10 - 3-0 60ml,1,6.24
Igora Vibrance Light Brown Copper 5-7,2,10.62
IG Color 10 - 6-00 60ml,2,12.48
IR 12-0 60mL,1,6.24
Igora Vibrance Medium Blonde Cendre 7-1,2,10.62
IR 6-4 60ml,3,18.09
BM Toning Lilac 60ml,2,14.64
IR L 77 60ml,3,18.72
"Igora Vibrance Cendré Violet Toner  9,5-19",5,26.55
IR 5-4 60ml,2,12.06
IR 6-88 60ml,1,6.03
Page 7,,
IR 0-89 60ml,1,6.03
IR 5-1 60ml,1,6.03
IR 6-46 60ml,1,6.03
"Igora Vibrance Cendre Toner 9,5-1",13,69.03
Igora Vibrance Dark Brown Natural 3-0,3,15.93
Igora Vibrance Brown Chocolate Red 4-68,2,10.62
IR L 88 60ml,1,6.24
IR 5-65 60ml,1,6.03
IR 6-12 60ml,1,6.03
Igora Vibrance Medium Blonde Natural 7-0,1,5.31
TBH 10-19 60ml,2,14.64
IG Color 10 - 9-5 60ml,1,6.24
Igora Vibrance Extra Light Blonde Cendre 9-1,13,69.03
IR 8-77 60ml,4,24.12
IR L 89 60ml,3,18.72
IR 5-88 60ml,1,6.03
IR 6-0 60ml,8,48.24
Igora Vibrance Medium Blonde Copper Extra 7-77,4,21.24
IR 8-19 60ml,2,12.06
IR 3-0 60ml,2,12.06
IR 5-21 60ml,1,6.03
IR 8-11 60ml,1,6.03
Igora Vibrance Brown Beige Chocolate 4-46,1,5.31
IR 5-00 60ml,2,12.06
IG Color 10 - 8-4 60ml,3,18.72
IG Color 10 - 6-6 60ml,1,6.24
IR 7-4 60ml,1,6.03
IR 3-22 60ml,1,6.03
IR 7-57 60ml,1,6.03
IR 6-00 60ml,2,12.06
IR 6-16 60ml,1,6.03
Igora Vibrance Light Brown Cendre 5-1,1,5.31
IRA SW Silver 60ml,1,6.24
IR 6-77 60ml,4,24.12
IR 4-0 60ml,4,24.12
Igora Vibrance Extra Light Blonde Natural 9-0,1,5.31
IR 8-1 60ml,2,12.06
"Igora Vibrance Ash Cendre Toner 9,5-21",2,10.62
IG Color 10 - 5-0 60ml,3,18.72
Page 8,,
IR 5-6 60ml,2,12.06
Igora Vibrance Dark Blonde Natural 6-0,3,15.93
Total,253,"1,490.22"
Total,297,"1,948.32"
Page 9,,
PROFESSIONAL,,
Crazy Colour,,
Profeesional use only,#,Cost
crazy colour vermillion red,1,3.50
Total,1,3.50
Professional use only,#,Cost
crazy colour blue pure pigment drops,2,0.00
crazy colour orange,2,7.00
crazy colour rebel uv,3,10.50
crazy colour fire,1,3.50
crazy colour coral red,1,3.50
crazy colour ice mauve,1,3.50
crazy colour red pure pigment drops,1,0.00
crazy colour sapphire,2,7.00
crazy colour platinum,1,3.50
crazy colour peachy coral,2,7.00
crazy colour capri blue,1,3.50
crazy colour lilac,1,3.50
Total,18,52.50
Total,19,56.00
Kevin.Murphy,,
Professional use only,#,Cost
ANGEL.MASQUE 1Ltr,1,35.75
REPAIR.ME.RINSE 1Ltr,2,66.02
BALANCING.WASH 1Ltr,1,22.65
SMOOTH.AGAIN.WASH 1Ltr,1,24.43
MAXI.WASH 1Ltr,1,22.94
STIMULATE.ME.WASH 1Ltr,1,24.43
Total,7,196.22
"Retail (Shampoo, Conditioner, Treatment)",#,Cost
Crystal.Angel,1,24.43
Autumn.Angel,1,24.43
Total,2,48.86
Total,9,245.08
Schwarzkopf,,
Page 10,,
Colour Tubes,#,Cost
IGORA Colour10 5-1,1,5.55
IGORA Colour10 8-11,1,5.55
IGORA Colour10 8-0,1,5.55
IGORA Colour10  6-0,3,16.65
Total,6,33.30
Profeesional use only,#,Cost
Silver foil (box of 3) 90m Plain,2,21.60
Total,2,21.60
Professional use only,#,Cost
BW pH 4.5 Color Freeze Silver Shampoo,1,17.45
Hyaluronic Moisture Kick shampoo,1,10.47
bc fiber clinix trbond shampoo all hair types,1,0.00
Total,3,27.92
Total,11,82.82
Schwarzkopf Igora,,
Colour Tubes,#,Cost
X c10 7-1,5,0.00
Total,5,0.00
Total,5,0.00
Schwarzkopf.,,
Profeesional use only,#,Cost
gloves large,1,0.00
gloves small,6,0.00
Total,7,0.00
Total,7,0.00
Page 11,,
RETAIL,,
Igora,,
Colour Tubes,#,Cost
X IV 7-42,4,0.00
Total,4,0.00
Total,4,0.00
Kevin.Murphy,,
Retail (Backwash),#,Cost
FRESH.HAIR,1,13.00
Total,1,13.00
"Retail (Shampoo, Conditioner, Treatment)",#,Cost
BLONDE.ANGEL,1,11.38
PLUMPING.RINSE,1,14.08
Total,2,25.46
Retail (Styling Products),#,Cost
kevin.murphy blowdry ever.smooth,1,0.00
SHIMMER.ME BLONDE,2,27.08
Total,3,27.08
Total,6,65.54
Olaplex,,
Professional use only,#,Cost
olaplex no.1 bond multiplier,2,0.00
Total,2,0.00
Retail (Backwash),#,Cost
Olaplex Toning Shampoo No.4P,2,0.00
Olaplex Bond Intense Moisture Mask No.8,1,0.00
Olaplex Bond Maintenance Conditioner No.5,1,0.00
Total,4,0.00
Total,6,0.00
Schwarzkopf,,
Colour Tubes,#,Cost
IGORA ROYAL 6-16,3,0.00
IGORA Royal FL L-44,4,23.04
IGORA COLOR10 8-4,6,33.30
Page 12,,
Total,13,56.34
"Retail (Shampoo, Conditioner, Treatment)",#,Cost
Keratin Smooth Perfect: Duo Layering,1,15.06
Total,1,15.06
Retail (Styling Products),#,Cost
Osis Blow & Go 200ml,3,18.66
Total,3,18.66
Total,17,90.06
Schwarzkopf Professional,,
Colour Tubes,#,Cost
X VIBRANCE 5-16,1,0.00
X VIBRANCE 6-16,1,4.92
Total,2,4.92
Total,2,4.92
Schwarzkopf Retail,,
Retail (Styling Products),#,Cost
"Chro ID Retail Mask 9,5-1",1,12.00
"Chro ID Large Classic 9,5-1",1,21.00
Total,2,33.00
Total,2,33.00
Schwarzkopf.,,
"Retail (Shampoo, Conditioner, Treatment)",#,Cost
Repair Rescue Sealed Ends+ 100ml,1,9.33
COOL BLONDES - Neutralizing Spray Conditioner  150ml,1,9.78
Total,2,19.11
Retail (Styling Products),#,Cost
Session Label The Definer,1,9.30
Session Label The Strong,1,10.23
Session Label The Miracle,1,9.30
Session Label The Powder,1,9.30
Session Label The Mud,1,9.30
Session Label The Flexible,1,10.23
Session Label The Paste,1,9.30
Session Label The Serum,1,9.30
Page 13,,
Session Label The Thickener,1,8.22
Session Label The Texturiser,1,9.30
Session Label The Salt,1,8.22
Total,11,102.00
Total,13,121.11
Page 14,,
