Product Usage Report,,
Base Hair Academy,,
11/04/21 - 01/05/21 (Days: 21),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,2,31.60
BM Premi Lift 9+,17,241.06
Total,19,272.66
Colour Developers,#,Cost
BM Developer 6%,12,72.72
Vibrance 1.9% lotion,9,49.95
IGORA Royal Oxigenta 6% 1 Litre,5,28.65
IGORA Royal Oxigenta 3% 1 Litre,4,22.92
BM Developer 2%,7,42.42
Total,37,216.66
Colour Tubes,#,Cost
Vibrance 7-48,1,4.92
IGORA Color10 7-0 ,2,11.10
"Vibrance 9,5-46",1,4.92
BM Bleach & tone pastel additive,1,6.42
Vibrance 8-0,3,14.76
TBH 9-16 C,1,6.42
IGORA Royal 4-0,2,11.10
IGORA Royal 5-6,1,5.55
"IGORA Royal 9,5-4",1,5.55
Vibrance 8-46,4,19.68
BM toning lilac,5,32.10
IGORA Royal 5-88,1,5.55
TBH 8-19 C,1,6.42
IGORA Royal Nude 7-46,4,22.20
Vibrance 8-19,3,14.76
Vibrance 6-68,1,4.92
Vibrance 5-4,1,4.92
IGORA Royal 6-88,6,33.30
Page 1 ,,
Vibrance 9-55,1,4.92
IGORA Royal 5-0,4,22.20
IGORA Royal 8-1,1,5.55
IGORA Royal P 11-89,1,5.76
IGORA Royal 12-1,1,5.55
IGORA Color10 9-00,2,11.10
IGORA Royal 6-99,1,5.55
Vibrance 7-65,4,19.68
"IGORA Royal 9,5-22",2,11.10
Igora Royal 6-299,1,5.76
Vibrance 7-4,4,19.68
IGORA Royal 5-68,2,11.10
"Vibrance 9,5-1",10,49.20
Vibrance 4-0,2,9.84
Vibrance 8-11,7,34.44
IGORA Royal 7-1,2,11.10
Vibrance 5-1,2,9.90
"IGORA Royal P 9,5-89",2,11.52
"Vibrance 9,5-19",10,49.20
Vibrance 5-88,2,9.84
IGORA Royal 7-65,1,5.55
IGORA Royal 1-0,1,5.55
"Vibrance 9,5-49",2,9.84
Vibrance 1-0,1,4.92
vibrance 7-57,2,9.84
Vibrance 5-65,2,9.84
Vibrance 9-57,2,9.84
Vibrance 3-0,4,19.68
Vibrance 9-0,1,4.92
Vibrance 6-46,1,4.92
IGORA Royal 9-00,1,5.55
IGORA Royal SW Silver,1,5.76
IGORA Royal 7-0,5,27.75
BM Toning Ice-Irise,6,38.52
"Vibrance 9,5-21",4,19.68
IGORA Color10 8-00 ,1,5.55
BM toning steel blue,1,6.42
IGORA Royal 6-0,3,16.65
Vibrance 7-77,1,4.92
Page 2 ,,
IGORA Royal 6-1,1,5.55
IGORA Royal 6-5,1,5.55
IGORA Royal 4-63,1,5.55
Vibrance 7-55,2,9.84
