Product Usage Report,,
Base Hair Academy,,
01/01/22 - 30/03/22 (Days: 89),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vibrance Medium Blonde Chocolate Gold 7-65,1,5.31
Igora Vibrance Medium Blonde Beige Red 7-48,2,10.62
Igora Vibrance Dark Blonde Chocolate Red 6-68,1,5.31
IR 8-4 60ml,1,6.03
IR 4-63 60ml,1,6.03
IR 5-65 60ml,1,6.03
Igora Vibrance Dark Blonde Cendre Ash 6-12,1,5.31
Igora Vibrance 9-24 Muted Desert,1,5.31
IR 7-65 60ml,2,12.06
IR 4-46 60ml,1,6.03
Igora Vibrance Light Blonde Beige Chocolate 8-46,1,5.31
Igora Vibrance Medium Blonde Natural Extra 7-00,1,5.31
IR 7-76 60ml,1,6.03
Igora Vibrance Medium Blonde Cendre 7-1,3,15.93
Igora Vibrance Light Blonde Cendre Extra 8-11,1,5.31
Page 5,,
BM Toning Ice Irise 60ml,2,14.64
Igora Vibrance 5-21 Ashy Cedar,1,5.31
IR 7-42 60ml,1,6.03
IR 8-77 60ml,1,6.03
Igora Vibrance Extra Light Blonde Cendre 9-1,4,21.24
Igora Vibrance Extra Light Blonde Gold Copper 9-57,1,5.31
Igora Vibrance Ash Concentrate 0-22,1,5.31
Igora Vibrance Light Blonde Cendre Violet 8-19,2,10.62
BM Toning Lilac 60ml,1,7.32
Igora Vibrance Light Blonde Natural 8-0,1,5.31
Igora Vibrance Medium Blonde Natural 7-0,2,10.62
Total,50,280.17
Total,56,329.61
Page 6,,
PROFESSIONAL,,
Crazy Colour,,
Profeesional use only,#,Cost
crazy colour burgundy,1,3.50
Crazy Colour Bordeaux,1,3.50
crazy colour vermillion red,2,7.00
Total,4,14.00
Professional use only,#,Cost
crazy colour anarchy uv,1,3.50
crazy colour cyclamen,1,3.50
crazy colour capri blue,1,3.50
crazy colour fire,3,10.50
crazy colour orange,1,3.50
crazy colour sapphire,2,7.00
crazy colour pinkissimo,1,3.50
crazy colour violette,3,10.50
crazy colour canary yellow,1,3.50
crazy colour coral red,2,7.00
Total,16,56.00
Total,20,70.00
Schwarzkopf,,
Colour Misc,#,Cost
Color Remover,2,7.10
Total,2,7.10
Colour Tubes,#,Cost
IGORA Colour10  6-0,1,5.55
IGORA Colour10 8-11,2,11.10
Total,3,16.65
